,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ORPM,DRPM,RPM,RPM_WINS
PER,1.0,0.7546739344085447,-0.042219045483827704,0.2590394370569588,0.03369809962852772,0.3172022574337925,0.346883105009829,0.12529438267190207,-0.04729271810420612,-0.6553666503326852,0.18426274895815353,0.5437870007945688,0.2982475589256491,0.5227482833617074,0.9118726480185619,0.842027927832046,0.04812846451687596,0.6725249232266424,0.5469176007876053,0.5763199934361463,0.13088646873152296,0.5172408496024357,0.48688476623410964
TS%,0.7546739344085447,1.0,-0.06341109672279065,0.014233631570154157,-0.27112600374862234,0.5050014157135231,-0.16935604199998044,-0.1517077123728846,-0.33787463312571187,-0.5106678030831169,0.016507312226603874,0.309160847501253,-0.05352181194784679,0.2166956661668281,0.7241447125761624,0.4816224193933582,-0.3713678371059924,0.2103620602211571,0.1952382021204795,0.3118631482562886,0.03362999111526958,0.26043885298190517,0.16777998680986783
3PAr,-0.042219045483827704,-0.06341109672279065,1.0,0.1671622975261392,-0.18641873589261237,-0.44195141665635823,0.06699816400938868,-0.07235385406533353,-0.23046376363229196,-0.11352587190992032,-0.24635127768340456,0.3352669873936266,-0.01636699616276431,0.24853587357032494,0.1488530347292993,0.34735283990969584,0.08802476273311725,0.3075553885931142,0.15488103858751015,0.37601666168682757,-0.02143489685133065,0.2815948268995593,0.23980105585090722
FTr,0.2590394370569588,0.014233631570154157,0.1671622975261392,1.0,0.32487824831253914,-0.2982667428796928,0.23055612436473363,0.29397860383487623,0.4178474829722648,-0.1967771585418656,0.11047306053984386,0.2963633050398961,0.14410775387896804,0.2784510915815288,0.2787785324363719,0.38844660088329996,0.396520423856295,0.4740146744891944,0.3155491197645777,0.31664559444611756,0.21018996169708898,0.3565093910198833,0.3202521162099935
ORB%,0.03369809962852772,-0.27112600374862234,-0.18641873589261237,0.32487824831253914,1.0,0.03831920402131616,0.12250543021622343,0.15701697160587236,0.5376933737247093,0.09449246136461059,0.02955669723642065,0.12187698529299387,0.5661195701829381,0.29563789538380275,0.0492724627377073,0.11317255849032137,0.6506081422284326,0.3731706712030992,0.38953421155332246,0.07843763363450716,0.35261677393309687,0.2455094331404181,0.34013549978203056
DRB%,0.3172022574337925,0.5050014157135231,-0.44195141665635823,-0.2982667428796928,0.03831920402131616,1.0,-0.27437521853658586,-0.20668463576845758,-0.06468091092999467,-0.048018859902190236,0.305813271385469,-0.014764592928076749,0.1340585869872927,0.0374523187634693,0.13099379028811045,-0.14998084532372405,-0.3152092593609487,-0.2538485668534685,0.1822077851880106,-0.04705370222693792,0.3146272812420666,0.1279190353691508,0.1000323286379597
AST%,0.346883105009829,-0.16935604199998044,0.06699816400938868,0.23055612436473363,0.12250543021622343,-0.27437521853658586,1.0,0.34631559934067346,0.07088153640954165,0.09663410138451482,0.1321775185460222,0.35158386170601275,0.35699102883808354,0.4000094459859687,0.3029386896822157,0.4647902520816834,0.4021816723936311,0.5349218396067769,0.4253615165425626,0.3954609105349259,0.05993183176673112,0.3392935167887751,0.38849939285250956
STL%,0.12529438267190207,-0.1517077123728846,-0.07235385406533353,0.29397860383487623,0.15701697160587236,-0.20668463576845758,0.34631559934067346,1.0,0.3284606040824406,0.04003537783904045,-0.2513310173180581,-0.0315051031440267,0.22538871329655893,0.060139566605867986,0.17846024981708644,0.15815118138618028,0.612642132353663,0.3906630024150551,0.1411058344481969,-0.015363223757910353,0.39638019275035874,0.19535590799934818,0.1386077929305525
BLK%,-0.04729271810420612,-0.33787463312571187,-0.23046376363229196,0.4178474829722648,0.5376933737247093,-0.06468091092999467,0.07088153640954165,0.3284606040824406,1.0,0.003377611273797995,0.02538016585718556,-0.10989150002018723,0.2569516296490067,0.006801871892920889,-0.07858766900006768,-0.017750231708238414,0.5773106151801265,0.23760170493298566,0.10202917360111136,-0.08582136362118399,0.30834798866702195,0.09444620632269658,0.07586691261352911
TOV%,-0.6553666503326852,-0.5106678030831169,-0.11352587190992032,-0.1967771585418656,0.09449246136461059,-0.048018859902190236,0.09663410138451482,0.04003537783904045,0.003377611273797995,1.0,-0.0028499238981407344,-0.27713933577265853,-0.003993162184833592,-0.21207046294296647,-0.6581061315678056,-0.6567004391198645,0.055721990974615804,-0.4840214680627021,-0.15986454465364602,-0.3385668246882291,0.10354676208555876,-0.20948537043935636,-0.16884872209286633
USG%,0.18426274895815353,0.016507312226603874,-0.24635127768340456,0.11047306053984386,0.02955669723642065,0.305813271385469,0.1321775185460222,-0.2513310173180581,0.02538016585718556,-0.0028499238981407344,1.0,0.3470961628884087,0.19263817309374406,0.3333251615463359,-0.18349295709111402,-0.0182075383846829,-0.2805908715747547,-0.13789155124825797,0.4223466956118385,0.4066189944370482,-0.14677930197213157,0.23986593712400386,0.3263797551037914
OWS,0.5437870007945688,0.309160847501253,0.3352669873936266,0.2963633050398961,0.12187698529299387,-0.014764592928076749,0.35158386170601275,-0.0315051031440267,-0.10989150002018723,-0.27713933577265853,0.3470961628884087,1.0,0.5307000334464843,0.9520732479642723,0.5008064585065232,0.6500421734891034,0.16024177236811626,0.5736584788765963,0.8577387492344812,0.9330155322744075,0.16632872223920633,0.8135387674799988,0.8720491000078622
