,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ORPM,DRPM,RPM,RPM_WINS
PER,1.0,0.6617922319631683,-0.11485180709455195,0.305563536021437,0.16673622319092132,0.33784797527560206,0.556154982000376,0.22076470929574252,0.13942555614529797,-0.0636373223619603,0.7185429268836238,0.8227550339404562,0.5940610093147,0.8317990439602367,0.8209145000556487,0.9273302521949647,0.20527577109489603,0.8449378537754129,0.8182333149156322,0.8773819927106232,0.15455020662732719,0.744262685290797,0.7701677812067991
TS%,0.6617922319631683,1.0,0.1334041003363266,0.10359224439278296,-0.06984557656022712,0.07530594264167927,0.09488919141282261,-0.08206125332540355,-0.17890809312206724,-0.0528957946337739,0.2270968741862417,0.7382847649795499,0.352344123854164,0.6797525990504806,0.7695280764940735,0.7521607452897159,0.004201624321814769,0.5970508430568772,0.48991875365081405,0.7573207959187052,0.09232044026729803,0.620403468290925,0.5717807721734983
3PAr,-0.11485180709455195,0.1334041003363266,1.0,-0.1717631015124552,-0.27946646430127753,-0.12200374206969643,-0.24330545186978067,-0.11019163999541169,-0.16263281763453208,-0.12605251847362145,-0.1109934055769926,0.1360143671497977,-0.0610475067456931,0.08128947121123531,0.06898769318040615,0.18555676245829766,-0.15828816193517392,0.05407754623444969,0.0581275376937692,0.15941286148632627,0.1243885450998093,0.1868348000908336,0.17559088775754494
FTr,0.305563536021437,0.10359224439278296,-0.1717631015124552,1.0,0.27344061804068437,-0.03419053672185295,0.3101044955721896,0.015360268231875267,0.31050250266132956,0.06332059384344865,0.3609942040137327,0.27498621608971674,0.10854527198997616,0.2408081137473322,0.2561242701728018,0.18238748336530664,0.00796946813390701,0.1482029176486061,0.2821959470256584,0.22819288291608847,0.06900586349596982,0.20900902872098479,0.22145200513199537
ORB%,0.16673622319092132,-0.06984557656022712,-0.27946646430127753,0.27344061804068437,1.0,0.4806744587014452,0.035926524611161186,0.3264877323027952,0.47134146815660044,0.18771691866484755,0.009924928649824753,0.1132400863735585,0.3738460123788983,0.2234107861882597,0.1815696124798355,0.048067620235903406,0.579164267799133,0.3602040420001429,0.35103800970444515,0.04258469882005663,0.1679364432428007,0.12209596287272347,0.19694162923082395
DRB%,0.33784797527560206,0.07530594264167927,-0.12200374206969643,-0.03419053672185295,0.4806744587014452,1.0,0.3263901720612894,0.44855252179586935,0.36587793221242415,0.3562461882592907,0.11794655097102573,0.10063713482282687,0.6618769125641143,0.31733886982217413,0.28395668041763783,0.2160429704606878,0.7664637161798155,0.5976412952395226,0.5442658048695915,0.18307071660958105,0.30371986929645983,0.30076829738385424,0.3604351203413652
AST%,0.556154982000376,0.09488919141282261,-0.24330545186978067,0.3101044955721896,0.035926524611161186,0.3263901720612894,1.0,0.09338693986748241,0.003252613559399642,0.49297801310485306,0.5047159419224517,0.27979375405748697,0.33387989931514145,0.3319273810066443,0.32393393082766925,0.4158720315049539,0.10053196675098952,0.3807417501217126,0.4262734888942434,0.37110373930869806,0.13192947850447995,0.3504660421802011,0.3344530842328736
STL%,0.22076470929574252,-0.08206125332540355,-0.11019163999541169,0.015360268231875267,0.3264877323027952,0.44855252179586935,0.09338693986748241,1.0,0.5849966659591757,0.11113179551155196,-0.08959570215253773,0.06986353677726494,0.48453615130187966,0.22757159678812192,0.24837254015944946,0.08563474802792619,0.7786737628662113,0.49876084224573414,0.3428266666665839,0.03832815092664779,0.5185639172280546,0.3067776703517755,0.3070110729221296
BLK%,0.13942555614529797,-0.17890809312206724,-0.16263281763453208,0.31050250266132956,0.47134146815660044,0.36587793221242415,0.003252613559399642,0.5849966659591757,1.0,0.12325313769773973,0.06753360883711232,-0.030645377329783043,0.23342623398228438,0.060443632460156424,0.06644867189974867,-0.02337120727633466,0.6293503018627236,0.32879611076835136,0.24396562372543334,-0.06556508796430201,0.27313752461886914,0.09693768557649132,0.13714164634337997
TOV%,-0.0636373223619603,-0.0528957946337739,-0.12605251847362145,0.06332059384344865,0.18771691866484755,0.3562461882592907,0.49297801310485306,0.11113179551155196,0.12325313769773973,1.0,-0.10861480603062106,-0.19644714192433874,0.10777219181225012,-0.10683367465243236,-0.12460809517127347,-0.1416364718363671,0.2958940695128497,0.04842619222488649,-0.002950280288073749,-0.17473215068162973,0.09323849184026828,-0.08176402006455047,-0.07989184101462095
