x,y,value
PER,PER,1.0
PER,TS%,0.7628093819817965
PER,3PAr,-0.20652292169441405
PER,FTr,0.5165888772830842
PER,ORB%,0.15073083140183186
PER,DRB%,0.2797307313939714
PER,AST%,0.5159488941259399
PER,STL%,0.4738307787512125
PER,BLK%,0.09284086492315416
PER,TOV%,-0.3951301570315977
PER,USG%,0.7697650293157239
PER,OWS,0.871760367456759
PER,DWS,0.6726869161246694
PER,WS,0.8904157702702454
PER,WS/48,0.9064136476525725
PER,OBPM,0.9488669784639615
PER,DBPM,0.368183499920189
PER,BPM,0.921954079322546
PER,VORP,0.8986383392534527
PER,ORPM,0.8762909114241962
PER,DRPM,0.20581290233049848
PER,RPM,0.7983188060998626
PER,RPM_WINS,0.8178820050337378
TS%,PER,0.7628093819817965
TS%,TS%,1.0
TS%,3PAr,0.12124715706986433
TS%,FTr,0.3992839757239686
TS%,ORB%,-0.04243414424361757
TS%,DRB%,-0.07220942771098952
TS%,AST%,-0.009555523738446974
TS%,STL%,0.15347197858978384
TS%,BLK%,0.05971322096726707
TS%,TOV%,-0.3963969654255753
TS%,USG%,0.38342947179677667
TS%,OWS,0.8151624290930677
TS%,DWS,0.5147612343404231
TS%,WS,0.803579747922745
TS%,WS/48,0.8701525591047908
TS%,OBPM,0.8217313614125678
TS%,DBPM,0.17837656750025344
TS%,BPM,0.7536385558920483
TS%,VORP,0.6800390511543324
TS%,ORPM,0.7102729604414649
TS%,DRPM,0.11624911932955094
TS%,RPM,0.6244290078518357
TS%,RPM_WINS,0.638147530719605
3PAr,PER,-0.20652292169441405
3PAr,TS%,0.12124715706986433
3PAr,3PAr,1.0
3PAr,FTr,-0.3936536582175879
3PAr,ORB%,-0.23916561466845185
3PAr,DRB%,-0.45227751138707684
3PAr,AST%,-0.5256320238914471
3PAr,STL%,-0.2635202911446714
3PAr,BLK%,-0.16030210194040292
3PAr,TOV%,-0.17584569167154762
3PAr,USG%,-0.2570047939728896
3PAr,OWS,0.06069157024128664
3PAr,DWS,-0.11982552539758667
3PAr,WS,0.019901737081171905
3PAr,WS/48,0.060911357697675785
3PAr,OBPM,0.08034282801248992
3PAr,DBPM,-0.19770592573627127
3PAr,BPM,0.0037906770436999734
3PAr,VORP,-0.017661903242054265
3PAr,ORPM,0.05326512976434902
3PAr,DRPM,-0.014935868899352304
3PAr,RPM,0.03623621081163899
3PAr,RPM_WINS,0.0015554438479445003
FTr,PER,0.5165888772830842
FTr,TS%,0.3992839757239686
FTr,3PAr,-0.3936536582175879
FTr,FTr,1.0
FTr,ORB%,0.16161825459173637
FTr,DRB%,0.2510869260020887
FTr,AST%,0.3225318428847596
FTr,STL%,0.37377266551154636
FTr,BLK%,0.12642447845342888
FTr,TOV%,0.05519425642334045
FTr,USG%,0.4099622024891215
FTr,OWS,0.381698733593321
FTr,DWS,0.2942824283970424
FTr,WS,0.38906320744445216
FTr,WS/48,0.39259269404084884
FTr,OBPM,0.37019565350640193
FTr,DBPM,0.2379356639586718
FTr,BPM,0.38798075385886593
FTr,VORP,0.4063004461509486
FTr,ORPM,0.43008442268325847
FTr,DRPM,0.1322034028571488
FTr,RPM,0.4057815048048441
FTr,RPM_WINS,0.39123213189483946
ORB%,PER,0.15073083140183186
ORB%,TS%,-0.04243414424361757
ORB%,3PAr,-0.23916561466845185
ORB%,FTr,0.16161825459173637
ORB%,ORB%,1.0
ORB%,DRB%,0.44489902972182316
ORB%,AST%,0.06938759749610889
ORB%,STL%,0.3404779234635538
ORB%,BLK%,0.0338492093295655
ORB%,TOV%,0.07951428264346298
ORB%,USG%,0.080374333413207
ORB%,OWS,-0.009254677257334993
ORB%,DWS,0.14302281521196547
ORB%,WS,0.027547951093197093
ORB%,WS/48,0.08341868449070693
ORB%,OBPM,0.11219969859195626
ORB%,DBPM,0.5482422522265872
ORB%,BPM,0.2777672942513695
ORB%,VORP,0.20684681555400988
ORB%,ORPM,0.15769238410838848
ORB%,DRPM,0.292748466603711
ORB%,RPM,0.25815940879484334
ORB%,RPM_WINS,0.18365951348320636
DRB%,PER,0.2797307313939714
DRB%,TS%,-0.07220942771098952
DRB%,3PAr,-0.45227751138707684
DRB%,FTr,0.2510869260020887
DRB%,ORB%,0.44489902972182316
DRB%,DRB%,1.0
DRB%,AST%,0.5866522641295693
DRB%,STL%,0.49788686484908923
DRB%,BLK%,0.02704900525641091
DRB%,TOV%,0.31395591173954895
DRB%,USG%,0.22628408402927114
DRB%,OWS,0.033505791362475806
DRB%,DWS,0.2754177253154412
DRB%,WS,0.0997007351067321
DRB%,WS/48,0.06669294127936093
DRB%,OBPM,0.1418389801748651
DRB%,DBPM,0.6102487922890324
DRB%,BPM,0.3217136932306696
DRB%,VORP,0.30481182023197606
DRB%,ORPM,0.07810142506949219
DRB%,DRPM,0.3864101009295812
DRB%,RPM,0.23595897582649733
DRB%,RPM_WINS,0.20855924978564286
AST%,PER,0.5159488941259399
AST%,TS%,-0.009555523738446974
AST%,3PAr,-0.5256320238914471
AST%,FTr,0.3225318428847596
AST%,ORB%,0.06938759749610889
AST%,DRB%,0.5866522641295693
AST%,AST%,1.0
AST%,STL%,0.5464782557976624
AST%,BLK%,-0.03262399338518234
AST%,TOV%,0.28032874936875085
AST%,USG%,0.5175113959754258
AST%,OWS,0.32813165794613475
AST%,DWS,0.371757682626039
AST%,WS,0.36536452936211
AST%,WS/48,0.25494022543785383
AST%,OBPM,0.31105390299134317
AST%,DBPM,0.26256627607819705
AST%,BPM,0.3476305020545141
AST%,VORP,0.46361254695431947
AST%,ORPM,0.35595862186611615
AST%,DRPM,0.27645253676411247
AST%,RPM,0.41063646191349285
AST%,RPM_WINS,0.4466953348456231
STL%,PER,0.4738307787512125
STL%,TS%,0.15347197858978384
STL%,3PAr,-0.2635202911446714
STL%,FTr,0.37377266551154636
STL%,ORB%,0.3404779234635538
STL%,DRB%,0.49788686484908923
STL%,AST%,0.5464782557976624
STL%,STL%,1.0
STL%,BLK%,0.2672400357883801
STL%,TOV%,0.16095602289900376
STL%,USG%,0.2631048203056454
STL%,OWS,0.35078112074633705
STL%,DWS,0.5978854144179755
STL%,WS,0.44307626094830505
STL%,WS/48,0.36259192192038964
STL%,OBPM,0.35281494067236074
STL%,DBPM,0.6872342195744631
STL%,BPM,0.5240270963139162
STL%,VORP,0.5612809095950166
STL%,ORPM,0.3191033966918751
STL%,DRPM,0.6042761159646345
STL%,RPM,0.5277241358957765
STL%,RPM_WINS,0.557177176285347
BLK%,PER,0.09284086492315416
BLK%,TS%,0.05971322096726707
BLK%,3PAr,-0.16030210194040292
BLK%,FTr,0.12642447845342888
BLK%,ORB%,0.0338492093295655
BLK%,DRB%,0.02704900525641091
BLK%,AST%,-0.03262399338518234
BLK%,STL%,0.2672400357883801
BLK%,BLK%,1.0
BLK%,TOV%,-0.16955222926198357
BLK%,USG%,0.10700777746077543
BLK%,OWS,-0.02824880093649138
BLK%,DWS,0.4414812969665312
BLK%,WS,0.09352953745432831
BLK%,WS/48,0.087963341001937
BLK%,OBPM,0.02818456684110464
BLK%,DBPM,0.4868449467494365
BLK%,BPM,0.1832546032161987
BLK%,VORP,0.13280985382989802
BLK%,ORPM,-0.07065773096768889
BLK%,DRPM,0.2741529621548297
BLK%,RPM,0.06581598898818594
BLK%,RPM_WINS,0.13315898461705333
TOV%,PER,-0.3951301570315977
TOV%,TS%,-0.3963969654255753
TOV%,3PAr,-0.17584569167154762
TOV%,FTr,0.05519425642334045
TOV%,ORB%,0.07951428264346298
TOV%,DRB%,0.31395591173954895
TOV%,AST%,0.28032874936875085
TOV%,STL%,0.16095602289900376
TOV%,BLK%,-0.16955222926198357
TOV%,TOV%,1.0
TOV%,USG%,-0.31739900308398816
TOV%,OWS,-0.3993006527310676
TOV%,DWS,-0.13752132150196583
TOV%,WS,-0.36417418783615696
TOV%,WS/48,-0.511861803789916
TOV%,OBPM,-0.5182959284996939
TOV%,DBPM,0.06759646892735062
TOV%,BPM,-0.41365370279589614
TOV%,VORP,-0.28431320353842
TOV%,ORPM,-0.4239171746888554
TOV%,DRPM,0.22743081142332683
TOV%,RPM,-0.23978030676519563
TOV%,RPM_WINS,-0.20637895804694298
USG%,PER,0.7697650293157239
USG%,TS%,0.38342947179677667
USG%,3PAr,-0.2570047939728896
USG%,FTr,0.4099622024891215
USG%,ORB%,0.080374333413207
USG%,DRB%,0.22628408402927114
USG%,AST%,0.5175113959754258
USG%,STL%,0.2631048203056454
USG%,BLK%,0.10700777746077543
USG%,TOV%,-0.31739900308398816
USG%,USG%,1.0
USG%,OWS,0.49296178580578437
USG%,DWS,0.4559492244280654
USG%,WS,0.5217550322287828
USG%,WS/48,0.5063587090110491
USG%,OBPM,0.6814606474544812
USG%,DBPM,0.11957517353780775
USG%,BPM,0.6128166213009574
USG%,VORP,0.6123772101462841
USG%,ORPM,0.5979506011209702
USG%,DRPM,-0.057300212636448064
USG%,RPM,0.4562043419796715
USG%,RPM_WINS,0.49222216537620916
OWS,PER,0.871760367456759
OWS,TS%,0.8151624290930677
OWS,3PAr,0.06069157024128664
OWS,FTr,0.381698733593321
OWS,ORB%,-0.009254677257334993
OWS,DRB%,0.033505791362475806
OWS,AST%,0.32813165794613475
OWS,STL%,0.35078112074633705
OWS,BLK%,-0.02824880093649138
OWS,TOV%,-0.3993006527310676
OWS,USG%,0.49296178580578437
OWS,OWS,1.0
OWS,DWS,0.6047816380001574
OWS,WS,0.9782811215797772
OWS,WS/48,0.9371134425473246
OWS,OBPM,0.9044840695380886
OWS,DBPM,0.23449510012445252
OWS,BPM,0.8414450588613013
OWS,VORP,0.8986250223420456
OWS,ORPM,0.8707799915304556
OWS,DRPM,0.19712792632872567
OWS,RPM,0.7899889847290995
OWS,RPM_WINS,0.8638254505846146
DWS,PER,0.6726869161246694
DWS,TS%,0.5147612343404231
DWS,3PAr,-0.11982552539758667
DWS,FTr,0.2942824283970424
DWS,ORB%,0.14302281521196547
DWS,DRB%,0.2754177253154412
DWS,AST%,0.371757682626039
DWS,STL%,0.5978854144179755
DWS,BLK%,0.4414812969665312
DWS,TOV%,-0.13752132150196583
DWS,USG%,0.4559492244280654
DWS,OWS,0.6047816380001574
DWS,DWS,1.0
DWS,WS,0.7564831021297435
DWS,WS/48,0.6678331868875462
DWS,OBPM,0.6265045615636933
DWS,DBPM,0.7390629089721399
DWS,BPM,0.7770413593273904
DWS,VORP,0.8026410959047784
DWS,ORPM,0.5310970733479112
DWS,DRPM,0.5216855893955857
DWS,RPM,0.6615791698174048
DWS,RPM_WINS,0.7580040445135428
WS,PER,0.8904157702702454
WS,TS%,0.803579747922745
WS,3PAr,0.019901737081171905
WS,FTr,0.38906320744445216
WS,ORB%,0.027547951093197093
WS,DRB%,0.0997007351067321
WS,AST%,0.36536452936211
WS,STL%,0.44307626094830505
WS,BLK%,0.09352953745432831
WS,TOV%,-0.36417418783615696
WS,USG%,0.5217550322287828
WS,OWS,0.9782811215797772
WS,DWS,0.7564831021297435
WS,WS,1.0
WS,WS/48,0.9432393572848076
WS,OBPM,0.9057029033409488
WS,DBPM,0.3850374942606886
WS,BPM,0.8931173745686768
WS,VORP,0.9466342081553641
WS,ORPM,0.8530433366565484
WS,DRPM,0.296744793766502
WS,RPM,0.8203006749863064
WS,RPM_WINS,0.9062058510233909
WS/48,PER,0.9064136476525725
WS/48,TS%,0.8701525591047908
WS/48,3PAr,0.060911357697675785
WS/48,FTr,0.39259269404084884
WS/48,ORB%,0.08341868449070693
WS/48,DRB%,0.06669294127936093
WS/48,AST%,0.25494022543785383
WS/48,STL%,0.36259192192038964
WS/48,BLK%,0.087963341001937
WS/48,TOV%,-0.511861803789916
WS/48,USG%,0.5063587090110491
WS/48,OWS,0.9371134425473246
WS/48,DWS,0.6678331868875462
WS/48,WS,0.9432393572848076
WS/48,WS/48,1.0
WS/48,OBPM,0.9469340355827901
WS/48,DBPM,0.36560729304172956
WS/48,BPM,0.9213475476448747
WS/48,VORP,0.883491119490148
WS/48,ORPM,0.8796201134189047
WS/48,DRPM,0.2528475524922516
WS/48,RPM,0.8220620873072488
WS/48,RPM_WINS,0.8292072974272194
OBPM,PER,0.9488669784639615
OBPM,TS%,0.8217313614125678
OBPM,3PAr,0.08034282801248992
OBPM,FTr,0.37019565350640193
OBPM,ORB%,0.11219969859195626
OBPM,DRB%,0.1418389801748651
OBPM,AST%,0.31105390299134317
OBPM,STL%,0.35281494067236074
OBPM,BLK%,0.02818456684110464
OBPM,TOV%,-0.5182959284996939
OBPM,USG%,0.6814606474544812
OBPM,OWS,0.9044840695380886
OBPM,DWS,0.6265045615636933
OBPM,WS,0.9057029033409488
OBPM,WS/48,0.9469340355827901
OBPM,OBPM,1.0
OBPM,DBPM,0.31578587003747327
OBPM,BPM,0.9482716783256325
OBPM,VORP,0.8993798925067321
OBPM,ORPM,0.9166444856875346
OBPM,DRPM,0.1720600411662431
OBPM,RPM,0.8157246051358182
OBPM,RPM_WINS,0.8201468622232704
DBPM,PER,0.368183499920189
DBPM,TS%,0.17837656750025344
DBPM,3PAr,-0.19770592573627127
DBPM,FTr,0.2379356639586718
DBPM,ORB%,0.5482422522265872
DBPM,DRB%,0.6102487922890324
DBPM,AST%,0.26256627607819705
DBPM,STL%,0.6872342195744631
DBPM,BLK%,0.4868449467494365
DBPM,TOV%,0.06759646892735062
DBPM,USG%,0.11957517353780775
DBPM,OWS,0.23449510012445252
DBPM,DWS,0.7390629089721399
DBPM,WS,0.3850374942606886
DBPM,WS/48,0.36560729304172956
DBPM,OBPM,0.31578587003747327
DBPM,DBPM,1.0
DBPM,BPM,0.6003664758682657
DBPM,VORP,0.5554048073464338
DBPM,ORPM,0.25610937551327656
DBPM,DRPM,0.6520180356758156
DBPM,RPM,0.4983372238963327
DBPM,RPM_WINS,0.5060441882881022
BPM,PER,0.921954079322546
BPM,TS%,0.7536385558920483
BPM,3PAr,0.0037906770436999734
BPM,FTr,0.38798075385886593
BPM,ORB%,0.2777672942513695
BPM,DRB%,0.3217136932306696
BPM,AST%,0.3476305020545141
BPM,STL%,0.5240270963139162
BPM,BLK%,0.1832546032161987
BPM,TOV%,-0.41365370279589614
BPM,USG%,0.6128166213009574
BPM,OWS,0.8414450588613013
BPM,DWS,0.7770413593273904
BPM,WS,0.8931173745686768
BPM,WS/48,0.9213475476448747
BPM,OBPM,0.9482716783256325
BPM,DBPM,0.6003664758682657
BPM,BPM,1.0
BPM,VORP,0.9440473549236783
