x,y,value
PER,PER,1.0
PER,TS%,0.7758108169362643
PER,3PAr,0.029856079128356906
PER,FTr,0.49850580304841974
PER,ORB%,-0.10217018747223552
PER,DRB%,0.3232548009599157
PER,AST%,0.6249863179093761
PER,STL%,0.4204541521183051
PER,BLK%,0.10850065328223976
PER,TOV%,-0.2170261466291211
PER,USG%,0.7547974538917341
PER,OWS,0.8844464852155367
PER,DWS,0.6817220094653461
PER,WS,0.8834464408579437
PER,WS/48,0.9095055788159402
PER,OBPM,0.9484292597534476
PER,DBPM,0.33151023142610675
PER,BPM,0.9314866003868085
PER,VORP,0.8829423255751853
PER,ORPM,0.9257716057696554
PER,DRPM,0.346500129327705
PER,RPM,0.8355437890977723
PER,RPM_WINS,0.8269377659238081
TS%,PER,0.7758108169362643
TS%,TS%,1.0
TS%,3PAr,0.38003257882227925
TS%,FTr,0.3631833201676242
TS%,ORB%,-0.40633806531427386
TS%,DRB%,-0.03251803950199712
TS%,AST%,0.25755162186982783
TS%,STL%,0.3024634678425157
TS%,BLK%,-0.012370233017344027
TS%,TOV%,-0.22237196398300288
TS%,USG%,0.40595078271473306
TS%,OWS,0.7498373998339889
TS%,DWS,0.5413207869332743
TS%,WS,0.7395151612627885
TS%,WS/48,0.8656788973205776
TS%,OBPM,0.8420435474483945
TS%,DBPM,0.1453536095431173
TS%,BPM,0.7785808554683094
TS%,VORP,0.6632265782555733
TS%,ORPM,0.7644082631327284
TS%,DRPM,0.32184311736229826
TS%,RPM,0.7059088317069491
TS%,RPM_WINS,0.6274500667634566
3PAr,PER,0.029856079128356906
3PAr,TS%,0.38003257882227925
3PAr,3PAr,1.0
3PAr,FTr,-0.09685798617484073
3PAr,ORB%,-0.25542843285385136
3PAr,DRB%,-0.4234815385510008
3PAr,AST%,-0.3994325681782267
3PAr,STL%,-0.03467417506928254
3PAr,BLK%,-0.3860498689261245
3PAr,TOV%,-0.38546212560948384
3PAr,USG%,-0.15796794695607722
3PAr,OWS,0.34251374704475573
3PAr,DWS,0.15421088510335496
3PAr,WS,0.31363787010829625
3PAr,WS/48,0.3278161746472981
3PAr,OBPM,0.3099628104222549
3PAr,DBPM,-0.16452599691280445
3PAr,BPM,0.21971434641508716
3PAr,VORP,0.24728275732321844
3PAr,ORPM,0.25821887369379476
3PAr,DRPM,0.0860476991975832
3PAr,RPM,0.22830662468453325
3PAr,RPM_WINS,0.23512291065715343
FTr,PER,0.49850580304841974
FTr,TS%,0.3631833201676242
FTr,3PAr,-0.09685798617484073
FTr,FTr,1.0
FTr,ORB%,-0.07137470278814861
FTr,DRB%,0.2783880089282563
FTr,AST%,0.3211464111616976
FTr,STL%,0.44357892591022263
FTr,BLK%,0.26394685842657584
FTr,TOV%,0.01248291438770773
FTr,USG%,0.3046631045498083
FTr,OWS,0.3810829769579543
FTr,DWS,0.26756386770678314
FTr,WS,0.37493619111740056
FTr,WS/48,0.43929085947343816
FTr,OBPM,0.4175440319064831
FTr,DBPM,0.26271940503173064
FTr,BPM,0.44493889013066706
FTr,VORP,0.39882319774905134
FTr,ORPM,0.38249501081358167
FTr,DRPM,0.40598285227245223
FTr,RPM,0.46289197084646927
FTr,RPM_WINS,0.41920637473055755
ORB%,PER,-0.10217018747223552
ORB%,TS%,-0.40633806531427386
ORB%,3PAr,-0.25542843285385136
ORB%,FTr,-0.07137470278814861
ORB%,ORB%,1.0
ORB%,DRB%,0.5333241733488921
ORB%,AST%,-0.1062269865790848
ORB%,STL%,0.009105346131721245
ORB%,BLK%,0.06489082569447006
ORB%,TOV%,0.03748862385735466
ORB%,USG%,-0.09568185588725672
ORB%,OWS,0.004972832091973527
ORB%,DWS,0.02137642562517177
ORB%,WS,0.00979759640835481
ORB%,WS/48,-0.08080472565222804
ORB%,OBPM,-0.15482403465007202
ORB%,DBPM,0.4627712094422598
ORB%,BPM,0.011697260192839808
ORB%,VORP,0.11110697961500947
ORB%,ORPM,-0.08501287057711969
ORB%,DRPM,0.16955555220876742
ORB%,RPM,0.01343606748941819
ORB%,RPM_WINS,0.08434858979084753
DRB%,PER,0.3232548009599157
DRB%,TS%,-0.03251803950199712
DRB%,3PAr,-0.4234815385510008
DRB%,FTr,0.2783880089282563
DRB%,ORB%,0.5333241733488921
DRB%,DRB%,1.0
DRB%,AST%,0.47505774599950884
DRB%,STL%,0.5431339303180293
DRB%,BLK%,0.3631524429990122
DRB%,TOV%,0.40892767275355346
DRB%,USG%,0.11768988923621698
DRB%,OWS,0.2079263680172726
DRB%,DWS,0.34927415410065316
DRB%,WS,0.2521920138731713
DRB%,WS/48,0.17033213031870523
DRB%,OBPM,0.15217303740321
DRB%,DBPM,0.7397582566181112
DRB%,BPM,0.3625488459663377
DRB%,VORP,0.41120534813929405
DRB%,ORPM,0.231763902953591
DRB%,DRPM,0.4969707740800433
DRB%,RPM,0.392850118407467
DRB%,RPM_WINS,0.4385595373055359
AST%,PER,0.6249863179093761
AST%,TS%,0.25755162186982783
AST%,3PAr,-0.3994325681782267
AST%,FTr,0.3211464111616976
AST%,ORB%,-0.1062269865790848
AST%,DRB%,0.47505774599950884
AST%,AST%,1.0
AST%,STL%,0.4555943216234809
AST%,BLK%,0.047019421512196485
AST%,TOV%,0.38875352823788506
AST%,USG%,0.45821256072299965
AST%,OWS,0.43159176294132395
AST%,DWS,0.4334711731106978
AST%,WS,0.45537357312190674
AST%,WS/48,0.39935922832260745
AST%,OBPM,0.465088426420376
AST%,DBPM,0.28565217270199195
AST%,BPM,0.49557508387127125
AST%,VORP,0.48641029890107557
AST%,ORPM,0.5681452613558705
AST%,DRPM,0.2368598494622302
AST%,RPM,0.523613661215457
AST%,RPM_WINS,0.5408596661996594
STL%,PER,0.4204541521183051
STL%,TS%,0.3024634678425157
STL%,3PAr,-0.03467417506928254
STL%,FTr,0.44357892591022263
STL%,ORB%,0.009105346131721245
STL%,DRB%,0.5431339303180293
STL%,AST%,0.4555943216234809
STL%,STL%,1.0
STL%,BLK%,0.23932127372064232
STL%,TOV%,0.3702847328812381
STL%,USG%,-0.022692371334706477
STL%,OWS,0.3255967220393673
STL%,DWS,0.4883715593484836
STL%,WS,0.3793813017243251
STL%,WS/48,0.38868489837912246
STL%,OBPM,0.3398082379144488
STL%,DBPM,0.6806974641447183
STL%,BPM,0.5076650863232112
STL%,VORP,0.47119826164601597
STL%,ORPM,0.3444203103995782
STL%,DRPM,0.7813138555871182
STL%,RPM,0.6029594715221558
STL%,RPM_WINS,0.5577669148472977
BLK%,PER,0.10850065328223976
BLK%,TS%,-0.012370233017344027
BLK%,3PAr,-0.3860498689261245
BLK%,FTr,0.26394685842657584
BLK%,ORB%,0.06489082569447006
BLK%,DRB%,0.3631524429990122
BLK%,AST%,0.047019421512196485
BLK%,STL%,0.23932127372064232
BLK%,BLK%,1.0
BLK%,TOV%,0.03262715441359092
BLK%,USG%,0.21604990066946486
BLK%,OWS,-0.14688416819859076
BLK%,DWS,0.10481005695605636
BLK%,WS,-0.0929181730462537
BLK%,WS/48,-0.07421761529896216
BLK%,OBPM,-0.028238333413816746
BLK%,DBPM,0.4218937352148114
BLK%,BPM,0.10378098763422891
BLK%,VORP,0.023498597364298032
BLK%,ORPM,-0.03375727035280324
BLK%,DRPM,0.28521845640512006
BLK%,RPM,0.10289362161456694
BLK%,RPM_WINS,0.03676588729597665
TOV%,PER,-0.2170261466291211
TOV%,TS%,-0.22237196398300288
TOV%,3PAr,-0.38546212560948384
TOV%,FTr,0.01248291438770773
TOV%,ORB%,0.03748862385735466
TOV%,DRB%,0.40892767275355346
TOV%,AST%,0.38875352823788506
TOV%,STL%,0.3702847328812381
TOV%,BLK%,0.03262715441359092
TOV%,TOV%,1.0
TOV%,USG%,-0.3262149424916201
TOV%,OWS,-0.31465413118507185
TOV%,DWS,-0.11386421198404167
TOV%,WS,-0.28452899865248305
TOV%,WS/48,-0.333126097013086
TOV%,OBPM,-0.35545486409929405
TOV%,DBPM,0.202729592635654
TOV%,BPM,-0.24728132925594773
TOV%,VORP,-0.21810054698857445
TOV%,ORPM,-0.2863896465505778
TOV%,DRPM,0.12077782292306477
TOV%,RPM,-0.15640683218920792
TOV%,RPM_WINS,-0.1374510368610786
USG%,PER,0.7547974538917341
USG%,TS%,0.40595078271473306
USG%,3PAr,-0.15796794695607722
USG%,FTr,0.3046631045498083
USG%,ORB%,-0.09568185588725672
USG%,DRB%,0.11768988923621698
USG%,AST%,0.45821256072299965
USG%,STL%,-0.022692371334706477
USG%,BLK%,0.21604990066946486
USG%,TOV%,-0.3262149424916201
USG%,USG%,1.0
USG%,OWS,0.5675237235804772
USG%,DWS,0.44400852509270067
USG%,WS,0.5707355172254374
USG%,WS/48,0.5242492484091634
USG%,OBPM,0.6670019087144136
USG%,DBPM,0.03447754576700559
USG%,BPM,0.5950018980470447
USG%,VORP,0.5879776514158582
USG%,ORPM,0.6396220674924842
USG%,DRPM,-0.13845184884830028
USG%,RPM,0.40810389608877284
USG%,RPM_WINS,0.4618088340940026
OWS,PER,0.8844464852155367
OWS,TS%,0.7498373998339889
OWS,3PAr,0.34251374704475573
OWS,FTr,0.3810829769579543
OWS,ORB%,0.004972832091973527
OWS,DRB%,0.2079263680172726
OWS,AST%,0.43159176294132395
OWS,STL%,0.3255967220393673
OWS,BLK%,-0.14688416819859076
OWS,TOV%,-0.31465413118507185
OWS,USG%,0.5675237235804772
OWS,OWS,1.0
OWS,DWS,0.7176069509097841
OWS,WS,0.9851208387004275
OWS,WS/48,0.9393754255661764
OWS,OBPM,0.9523785478744055
OWS,DBPM,0.2932552700069165
OWS,BPM,0.923528138967612
OWS,VORP,0.9465522006715704
OWS,ORPM,0.9446209516853713
OWS,DRPM,0.38058789988327685
OWS,RPM,0.8646596990845383
OWS,RPM_WINS,0.9031486978643682
DWS,PER,0.6817220094653461
DWS,TS%,0.5413207869332743
DWS,3PAr,0.15421088510335496
DWS,FTr,0.26756386770678314
DWS,ORB%,0.02137642562517177
DWS,DRB%,0.34927415410065316
DWS,AST%,0.4334711731106978
DWS,STL%,0.4883715593484836
DWS,BLK%,0.10481005695605636
DWS,TOV%,-0.11386421198404167
DWS,USG%,0.44400852509270067
DWS,OWS,0.7176069509097841
DWS,DWS,1.0
DWS,WS,0.8263940019009228
DWS,WS/48,0.7115941381561716
DWS,OBPM,0.6971931668841217
DWS,DBPM,0.6674344742912863
DWS,BPM,0.8165771319667119
DWS,VORP,0.831002584544926
DWS,ORPM,0.7459869968640688
DWS,DRPM,0.5614168745710297
DWS,RPM,0.7996367851240885
DWS,RPM_WINS,0.8469415110984962
WS,PER,0.8834464408579437
WS,TS%,0.7395151612627885
WS,3PAr,0.31363787010829625
WS,FTr,0.37493619111740056
WS,ORB%,0.00979759640835481
WS,DRB%,0.2521920138731713
WS,AST%,0.45537357312190674
WS,STL%,0.3793813017243251
WS,BLK%,-0.0929181730462537
WS,TOV%,-0.28452899865248305
WS,USG%,0.5707355172254374
WS,OWS,0.9851208387004275
WS,DWS,0.8263940019009228
WS,WS,1.0
WS,WS/48,0.9351951317934462
WS,OBPM,0.941798290016726
WS,DBPM,0.3996554777699503
WS,BPM,0.947295706445619
WS,VORP,0.9692485229579337
WS,ORPM,0.9474617384776814
