,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ORPM,DRPM,RPM,RPM_WINS
PER,1.0,0.7282933628333703,0.15740427851412533,0.5121658064668076,0.23386462013265413,0.35455268079212315,0.7058257838854114,0.130547669298726,-0.1308558461338413,-0.44087281892347885,0.8287340447498909,0.9419819986719986,0.6823043639152397,0.9456983597320732,0.9213236072486439,0.9689307816501799,0.14088876813305565,0.9169286127479589,0.910659394006725,0.9565219160809943,0.0921328232162474,0.8618178304489615,0.899354423300284
TS%,0.7282933628333703,1.0,0.48648464237198696,0.4635597670273698,-0.1673753219577772,-0.17284791568347907,0.2649041336197313,-0.06250435686336085,-0.34661111603311057,-0.4922044401573701,0.49891667220106545,0.8057986291239204,0.3056975993789234,0.7414195284177805,0.8353886164603312,0.7950202770732683,-0.24583041514191112,0.6091706802015947,0.5965998765519382,0.7788911356441512,0.06368784458482493,0.6969280514647875,0.6722197447162221
3PAr,0.15740427851412533,0.48648464237198696,1.0,0.04823382030906536,-0.31747654396218217,-0.19116763979101187,-0.14485023534134056,-0.07673339796482559,-0.49981849148675334,-0.35859152177728787,0.09767405489526591,0.2581188293918825,-0.009200354800445293,0.2129697709425659,0.3197453736875008,0.3479050330589857,-0.31802512126038024,0.18285640404095957,0.16883228591445237,0.32549727081272967,-0.042044186471355056,0.2618926271875402,0.21486024120860583
FTr,0.5121658064668076,0.4635597670273698,0.04823382030906536,1.0,0.27084624408312563,0.24483518040288652,0.27802914806763107,0.1273143726675142,0.2285840776832558,-0.09691602897259352,0.3468249661314496,0.5424091592655254,0.2304766427553663,0.504652096545728,0.4984151755341143,0.4947094320075538,0.17727239090808578,0.509301680954031,0.4724044298175962,0.45124570263067243,0.16955237729507489,0.46047215361962945,0.4583253530846765
ORB%,0.23386462013265413,-0.1673753219577772,-0.31747654396218217,0.27084624408312563,1.0,0.6801785108817846,0.2472541200904685,0.2821378772330186,0.31591385150494466,0.14817339933775894,0.2102483210346398,0.11733875176225296,0.44093313417504343,0.20446156436365212,0.14246743141761772,0.17031698261701814,0.658800910705894,0.4096029411808642,0.39174509866074775,0.15112932832341838,0.2566681522266164,0.23967085084324663,0.26967971625066184
DRB%,0.35455268079212315,-0.17284791568347907,-0.19116763979101187,0.24483518040288652,0.6801785108817846,1.0,0.49929442092106335,0.2841643443657088,0.2843675280492254,0.14396602774962713,0.3750447709876099,0.20600310145386133,0.6017790636575303,0.31714773976553784,0.21557360895843763,0.2882598120260085,0.7670064734588327,0.5558547822812466,0.5777336568277952,0.27729210032849644,0.3805305110385611,0.4010995041353594,0.43480134099637674
AST%,0.7058257838854114,0.2649041336197313,-0.14485023534134056,0.27802914806763107,0.2472541200904685,0.49929442092106335,1.0,0.20234645577702717,-0.1776037239282036,0.12079797317804163,0.5553254081802856,0.5609803660595294,0.6786869912303861,0.6289737258471741,0.5497558108300161,0.6200501101169243,0.27359871919611606,0.6608160505265723,0.6818308088416096,0.6051609900215537,0.12712410117927855,0.5746721096321291,0.6428089859208214
STL%,0.130547669298726,-0.06250435686336085,-0.07673339796482559,0.1273143726675142,0.2821378772330186,0.2841643443657088,0.20234645577702717,1.0,0.3050829109175625,0.3161835326411102,-0.20751214920521835,0.05935479261696014,0.3382376891269746,0.1299606257860457,0.24080236048352172,0.0776646114573275,0.6189367848247324,0.31075786359623553,0.2021460357642458,0.11875564747819813,0.6160890025752568,0.36549103931813354,0.24316907906835708
BLK%,-0.1308558461338413,-0.34661111603311057,-0.49981849148675334,0.2285840776832558,0.31591385150494466,0.2843675280492254,-0.1776037239282036,0.3050829109175625,1.0,0.14439163587676135,-0.07823896021830447,-0.16778882394744893,0.024070424170985788,-0.13515457108119663,-0.16634489401397248,-0.22643350846133758,0.5783864188882901,0.025231346226461403,-0.005973992451347968,-0.20305417319766944,0.349689141283721,-0.0250935565189108,-0.05420514162487202
TOV%,-0.44087281892347885,-0.4922044401573701,-0.35859152177728787,-0.09691602897259352,0.14817339933775894,0.14396602774962713,0.12079797317804163,0.3161835326411102,0.14439163587676135,1.0,-0.42657642744842533,-0.4642242003309964,-0.054478954190625324,-0.39899647242720626,-0.472102470661466,-0.49427268066697566,0.27122322196139953,-0.33283471320601155,-0.2834935999348709,-0.4749657041909343,0.16990972727425513,-0.3357439524349846,-0.3032617850916579
