,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ORPM,DRPM,RPM,RPM_WINS
FG,5.15250146113384,9.49791642314436,0.05589509059029806,1.2380274693161897,2.725201636469901,0.02139430157802455,3.9368497954412627,6.755593220338984,0.05985093512565748,2.4515312682641723,2.808176504967855,0.05168787258912917,0.008319696084161284,0.512957334891876,0.9725336060783163,-0.16735827001753356,-0.038056691992986585,1.0234658094681472,-1.2100409117475164,13.98954704850964,6.163617767387491,0.13348918760958525,3.230807422559906,-0.6040631209818819,2.626744301578024,4.5481087083576845
FGA,9.49791642314436,20.119456458211566,0.03966288720046757,2.731966686148452,6.756431911163065,0.04428284628872006,6.798398597311512,13.319757451782582,0.03709754529514903,5.561239041496201,6.375821157217998,0.1040281706604325,-0.1387142022209234,0.21680596142606637,2.107422559906488,-0.46986557568673276,-0.08632963179427237,2.0717212156633544,-1.8923495032144941,27.24177089421391,4.743132670952661,1.1823495032144948,5.298080946814727,-1.650937755698422,3.6471431911163066,6.982930157802458
FG%,0.05589509059029806,0.03966288720046757,0.002206426651081238,0.0008742548217416816,-0.016346464056107526,4.688807714786737e-05,0.055448480420806544,0.0561050555230859,0.002491461426066628,0.004772180011689062,0.005861426066627683,0.00036029982466393974,0.0035320280537697217,0.022953009935710117,0.006714669783752178,0.0005927527761542944,-0.0008191700759789597,0.0072635008766802995,-0.022281502045587365,0.11834605493863237,0.24126154295733487,-0.01898918760958503,0.051716887784921096,0.0066462244301578,0.0583631122150789,0.08133284336645237
3P,1.2380274693161897,2.731966686148452,0.0008742548217416816,1.2360198714202213,2.8957218001168905,0.03757390414962011,0.010362361192285223,-0.17308883693746338,0.007059994155464637,0.6360637054354177,0.4412010520163646,0.04788407364114552,-0.17383109292811225,-0.10205727644652246,-0.26191992986557555,-0.11495616598480415,-0.08501753360607832,0.0928813559322034,-0.3025277615429573,4.338553477498539,2.8539450613676203,0.10856224430157795,1.386479544126242,-0.06851081239041498,1.3179687317358266,2.185450613676213
3PA,2.725201636469901,6.756431911163065,-0.016346464056107526,2.8957218001168905,7.287825832846288,0.07380499707773235,-0.15110753945061364,-0.5555493863237873,0.005470426651081228,1.6545908825248397,1.3290473407364116,0.09790917592051435,-0.41101987142022217,-0.3174050263004091,-0.530017533606078,-0.20199298655756873,-0.15992694330800702,0.33431618936294566,-0.621507890122735,9.975596142606662,4.018907071887785,-0.038836937463471256,2.849320864991234,-0.2462451782583284,2.603075686732905,4.504174167153713
3P%,0.02139430157802455,0.04428284628872006,4.688807714786737e-05,0.03757390414962011,0.07380499707773235,0.003583982466393922,-0.015995236703682053,-0.029551490356516646,0.00010449094097019266,-0.0011753945061367572,-0.02464181765049678,0.002875314143775571,-0.016238194038573933,-0.027818088836937465,-0.01801037405026301,-0.009926884862653418,-0.009323728813559327,-0.014239070718877853,-0.011749064874342496,0.07871823495032146,0.1696320864991234,0.048409409701928696,0.039974155464640594,-0.007229172998246647,0.032744982466393936,0.034026899473991845
2P,3.9368497954412627,6.798398597311512,0.055448480420806544,0.010362361192285223,-0.15110753945061364,-0.015995236703682053,3.9428755113968457,6.94187901811806,0.05338559322033899,1.8177235534774987,2.3693863237872588,0.0034484219754529555,0.17980420806545874,0.6245032144944476,1.234441846873174,-0.048156049094097,0.04746931618936298,0.938404441846873,-0.913863237872589,9.707770309760376,3.3263004091174757,0.012828755113968228,1.8576969608416134,-0.5179456458211572,1.339751315020456,2.4105213325540618
2PA,6.755593220338984,13.319757451782582,0.0561050555230859,-0.17308883693746338,-0.5555493863237873,-0.029551490356516646,6.94187901811806,13.857744009351256,0.031796902396259485,3.8868673290473406,5.024316189362945,0.005329719462302759,0.2738310929281122,0.5455055523085915,2.642264757451783,-0.2676300409117473,0.07122443015780243,1.7350496785505554,-1.2654032729398013,17.203343074225597,0.7236411455289304,1.2172998246639386,2.4336583869082404,-1.3946098772647575,1.0390485096434834,2.4630493863237874
2P%,0.05985093512565748,0.03709754529514903,0.002491461426066628,0.007059994155464637,0.005470426651081228,0.00010449094097019266,0.05338559322033899,0.031796902396259485,0.0034251157218001165,0.002698977206312098,0.0028864114552893047,0.0003304453535943887,0.002036674459380484,0.02409614260666278,0.004149094097019281,0.0026234658094681463,-0.0015666277030976028,0.00838880771478668,-0.026319286966686138,0.13054976621858563,0.29033606078316776,-0.030963471654003528,0.06259450905902982,0.010783050847457626,0.07337755990648741,0.0993773319696084
FT,2.4515312682641723,5.561239041496201,0.004772180011689062,0.6360637054354177,1.6545908825248397,-0.0011753945061367572,1.8177235534774987,3.8868673290473406,0.002698977206312098,3.334769140853302,3.964666861484512,0.05261978375219171,0.012144944476914115,-0.38933372296902385,1.5219433080070135,-0.17508766803039152,0.058655756867329045,0.8319959088252483,-0.3211513734658094,8.865996493278786,4.328316773816482,0.16046171829339573,2.1198167738164817,-0.2409611338398597,1.8788556399766225,3.161305669199299
FTA,2.808176504967855,6.375821157217998,0.005861426066627683,0.4412010520163646,1.3290473407364116,-0.02464181765049678,2.3693863237872588,5.024316189362945,0.0028864114552893047,3.964666861484512,5.009514903565165,0.02436431911163062,0.17839859731151372,-0.09040911747516066,2.0309906487434253,-0.10170660432495614,0.18130333138515478,1.1500146113383987,-0.21032144944476905,10.01597311513735,3.6429573348918756,-0.4393337229690241,2.128198714202221,-0.2549491525423729,1.8732495616598477,3.3729526592635897
FT%,0.05168787258912917,0.1040281706604325,0.00036029982466393974,0.04788407364114552,0.09790917592051435,0.002875314143775571,0.0034484219754529555,0.005329719462302759,0.0003304453535943887,0.05261978375219171,0.02436431911163062,0.007814278199883113,-0.024227615429573354,-0.05965277615429575,-0.016372033898305112,-0.01800739333722969,-0.01321911163062536,-0.013747253068381057,-0.022381122150789013,0.20314570426651093,0.33421390999415546,0.09766043249561665,0.08813787551139686,-0.011515406195207495,0.07662246931618932,0.09282013442431326
ORB,0.008319696084161284,-0.1387142022209234,0.0035320280537697217,-0.17383109292811225,-0.41101987142022217,-0.016238194038573933,0.17980420806545874,0.2738310929281122,0.002036674459380484,0.012144944476914115,0.17839859731151372,-0.024227615429573354,0.26476329631794276,0.42096142606662773,0.041697837521917004,0.10338983050847453,0.09433372296902397,0.07673290473407364,0.0629105786090006,-0.13945061367621264,-0.1449152542372882,-0.8608416130917592,0.03623991817650494,0.10479602571595559,0.14103594389246055,0.3842440093512565
