x,y,value
FG,FG,5.15250146113384
FG,FGA,9.49791642314436
FG,FG%,0.05589509059029806
FG,3P,1.2380274693161897
FG,3PA,2.725201636469901
FG,3P%,0.02139430157802455
FG,2P,3.9368497954412627
FG,2PA,6.755593220338984
FG,2P%,0.05985093512565748
FG,FT,2.4515312682641723
FG,FTA,2.808176504967855
FG,FT%,0.05168787258912917
FG,ORB,0.008319696084161284
FG,DRB,0.512957334891876
FG,AST,0.9725336060783163
FG,STL,-0.16735827001753356
FG,BLK,-0.038056691992986585
FG,TOV,1.0234658094681472
FG,PF,-1.2100409117475164
FG,PTS,13.98954704850964
FG,ORtg,6.163617767387491
FG,DRtg,0.13348918760958525
FG,ORPM,3.230807422559906
FG,DRPM,-0.6040631209818819
FG,RPM,2.626744301578024
FG,RPM_WINS,4.5481087083576845
FGA,FG,9.49791642314436
FGA,FGA,20.119456458211566
FGA,FG%,0.03966288720046757
FGA,3P,2.731966686148452
FGA,3PA,6.756431911163065
FGA,3P%,0.04428284628872006
FGA,2P,6.798398597311512
FGA,2PA,13.319757451782582
FGA,2P%,0.03709754529514903
FGA,FT,5.561239041496201
FGA,FTA,6.375821157217998
FGA,FT%,0.1040281706604325
FGA,ORB,-0.1387142022209234
FGA,DRB,0.21680596142606637
FGA,AST,2.107422559906488
FGA,STL,-0.46986557568673276
FGA,BLK,-0.08632963179427237
FGA,TOV,2.0717212156633544
FGA,PF,-1.8923495032144941
FGA,PTS,27.24177089421391
FGA,ORtg,4.743132670952661
FGA,DRtg,1.1823495032144948
FGA,ORPM,5.298080946814727
FGA,DRPM,-1.650937755698422
FGA,RPM,3.6471431911163066
FGA,RPM_WINS,6.982930157802458
FG%,FG,0.05589509059029806
FG%,FGA,0.03966288720046757
FG%,FG%,0.002206426651081238
FG%,3P,0.0008742548217416816
FG%,3PA,-0.016346464056107526
FG%,3P%,4.688807714786737e-05
FG%,2P,0.055448480420806544
FG%,2PA,0.0561050555230859
FG%,2P%,0.002491461426066628
FG%,FT,0.004772180011689062
FG%,FTA,0.005861426066627683
FG%,FT%,0.00036029982466393974
FG%,ORB,0.0035320280537697217
FG%,DRB,0.022953009935710117
FG%,AST,0.006714669783752178
FG%,STL,0.0005927527761542944
FG%,BLK,-0.0008191700759789597
FG%,TOV,0.0072635008766802995
FG%,PF,-0.022281502045587365
FG%,PTS,0.11834605493863237
FG%,ORtg,0.24126154295733487
FG%,DRtg,-0.01898918760958503
FG%,ORPM,0.051716887784921096
FG%,DRPM,0.0066462244301578
FG%,RPM,0.0583631122150789
FG%,RPM_WINS,0.08133284336645237
3P,FG,1.2380274693161897
3P,FGA,2.731966686148452
3P,FG%,0.0008742548217416816
3P,3P,1.2360198714202213
3P,3PA,2.8957218001168905
3P,3P%,0.03757390414962011
3P,2P,0.010362361192285223
3P,2PA,-0.17308883693746338
3P,2P%,0.007059994155464637
3P,FT,0.6360637054354177
3P,FTA,0.4412010520163646
3P,FT%,0.04788407364114552
3P,ORB,-0.17383109292811225
3P,DRB,-0.10205727644652246
3P,AST,-0.26191992986557555
3P,STL,-0.11495616598480415
3P,BLK,-0.08501753360607832
3P,TOV,0.0928813559322034
3P,PF,-0.3025277615429573
3P,PTS,4.338553477498539
3P,ORtg,2.8539450613676203
3P,DRtg,0.10856224430157795
3P,ORPM,1.386479544126242
3P,DRPM,-0.06851081239041498
3P,RPM,1.3179687317358266
3P,RPM_WINS,2.185450613676213
3PA,FG,2.725201636469901
3PA,FGA,6.756431911163065
3PA,FG%,-0.016346464056107526
3PA,3P,2.8957218001168905
3PA,3PA,7.287825832846288
3PA,3P%,0.07380499707773235
3PA,2P,-0.15110753945061364
3PA,2PA,-0.5555493863237873
3PA,2P%,0.005470426651081228
3PA,FT,1.6545908825248397
3PA,FTA,1.3290473407364116
3PA,FT%,0.09790917592051435
3PA,ORB,-0.41101987142022217
3PA,DRB,-0.3174050263004091
3PA,AST,-0.530017533606078
3PA,STL,-0.20199298655756873
3PA,BLK,-0.15992694330800702
3PA,TOV,0.33431618936294566
3PA,PF,-0.621507890122735
3PA,PTS,9.975596142606662
3PA,ORtg,4.018907071887785
3PA,DRtg,-0.038836937463471256
3PA,ORPM,2.849320864991234
3PA,DRPM,-0.2462451782583284
3PA,RPM,2.603075686732905
3PA,RPM_WINS,4.504174167153713
3P%,FG,0.02139430157802455
3P%,FGA,0.04428284628872006
3P%,FG%,4.688807714786737e-05
3P%,3P,0.03757390414962011
3P%,3PA,0.07380499707773235
3P%,3P%,0.003583982466393922
3P%,2P,-0.015995236703682053
3P%,2PA,-0.029551490356516646
3P%,2P%,0.00010449094097019266
3P%,FT,-0.0011753945061367572
3P%,FTA,-0.02464181765049678
3P%,FT%,0.002875314143775571
3P%,ORB,-0.016238194038573933
3P%,DRB,-0.027818088836937465
3P%,AST,-0.01801037405026301
3P%,STL,-0.009926884862653418
3P%,BLK,-0.009323728813559327
3P%,TOV,-0.014239070718877853
3P%,PF,-0.011749064874342496
3P%,PTS,0.07871823495032146
3P%,ORtg,0.1696320864991234
3P%,DRtg,0.048409409701928696
3P%,ORPM,0.039974155464640594
3P%,DRPM,-0.007229172998246647
3P%,RPM,0.032744982466393936
3P%,RPM_WINS,0.034026899473991845
2P,FG,3.9368497954412627
2P,FGA,6.798398597311512
2P,FG%,0.055448480420806544
2P,3P,0.010362361192285223
2P,3PA,-0.15110753945061364
2P,3P%,-0.015995236703682053
2P,2P,3.9428755113968457
2P,2PA,6.94187901811806
2P,2P%,0.05338559322033899
2P,FT,1.8177235534774987
2P,FTA,2.3693863237872588
2P,FT%,0.0034484219754529555
2P,ORB,0.17980420806545874
2P,DRB,0.6245032144944476
2P,AST,1.234441846873174
2P,STL,-0.048156049094097
2P,BLK,0.04746931618936298
2P,TOV,0.938404441846873
2P,PF,-0.913863237872589
2P,PTS,9.707770309760376
2P,ORtg,3.3263004091174757
2P,DRtg,0.012828755113968228
2P,ORPM,1.8576969608416134
2P,DRPM,-0.5179456458211572
2P,RPM,1.339751315020456
2P,RPM_WINS,2.4105213325540618
2PA,FG,6.755593220338984
2PA,FGA,13.319757451782582
2PA,FG%,0.0561050555230859
2PA,3P,-0.17308883693746338
2PA,3PA,-0.5555493863237873
