x,y,value
FG,FG,3.3243846153846155
FG,FGA,6.873676923076923
FG,FG%,0.022745076923076934
FG,3P,0.9736461538461535
FG,3PA,2.3316153846153846
FG,3P%,0.04688415384615384
FG,2P,2.3959384615384622
FG,2PA,4.53406153846154
FG,2P%,0.022976615384615384
FG,FT,2.1934307692307695
FG,FTA,2.33463076923077
FG,FT%,0.07055415384615384
FG,ORB,-0.09406153846153842
FG,DRB,0.18260000000000012
FG,AST,0.6185076923076926
FG,STL,-0.024584615384615396
FG,BLK,-0.06341538461538461
FG,TOV,1.0540769230769231
FG,PF,-0.4097230769230768
FG,PTS,9.83186153846154
FG,ORtg,2.370307692307693
FG,DRtg,-0.476
FG,ORPM,1.978529230769231
FG,DRPM,-0.6312830769230766
FG,RPM,1.3472461538461544
FG,RPM_WINS,1.42435076923077
FGA,FG,6.873676923076923
FGA,FGA,16.577615384615385
FGA,FG%,0.004998615384615397
FGA,3P,1.9513692307692305
FGA,3PA,5.189523076923077
FGA,3P%,0.08207523076923078
FGA,2P,5.008707692307691
FGA,2PA,11.330092307692308
FGA,2P%,-0.0047030769230769365
FGA,FT,4.230446153846153
FGA,FTA,4.5032461538461535
FGA,FT%,0.14492923076923078
FGA,ORB,-0.1324923076923077
FGA,DRB,0.1901999999999998
FGA,AST,0.9846615384615389
FGA,STL,-0.6398769230769231
FGA,BLK,-0.16692307692307684
FGA,TOV,2.6636153846153854
FGA,PF,-1.0293846153846153
FGA,PTS,19.99829230769231
FGA,ORtg,-4.655538461538464
FGA,DRtg,0.5240000000000002
FGA,ORPM,3.142313846153846
FGA,DRPM,-2.6234246153846157
FGA,RPM,0.5188892307692302
FGA,RPM_WINS,-1.0220738461538468
FG%,FG,0.022745076923076934
FG%,FGA,0.004998615384615397
FG%,FG%,0.0009363646153846158
FG%,3P,0.008032769230769227
FG%,3PA,0.009950923076923078
FG%,3P%,0.0005594692307692306
FG%,2P,0.015240307692307708
FG%,2PA,-0.004340307692307665
FG%,2P%,0.0011316769230769236
FG%,FT,0.01932384615384617
FG%,FTA,0.020155846153846177
FG%,FT%,0.00050804923076923
FG%,ORB,-0.001719692307692305
FG%,DRB,0.0032860000000000155
FG%,AST,0.00288046153846155
FG%,STL,0.008756923076923084
FG%,BLK,0.0003870769230769232
FG%,TOV,-0.0025693846153846075
FG%,PF,-0.0008593846153846119
FG%,PTS,0.07241769230769234
FG%,ORtg,0.1873984615384615
FG%,DRtg,-0.033200000000000014
FG%,ORPM,0.02945975384615385
FG%,DRPM,0.021690215384615387
FG%,RPM,0.051149969230769254
FG%,RPM_WINS,0.07831704615384616
3P,FG,0.9736461538461535
3P,FGA,1.9513692307692305
3P,FG%,0.008032769230769227
3P,3P,1.1378615384615383
3P,3PA,2.461153846153846
3P,3P%,0.055403538461538455
3P,2P,-0.13301538461538456
3P,2PA,-0.5197846153846154
3P,2P%,0.008786153846153846
3P,FT,0.3953076923076923
3P,FTA,0.1613076923076922
3P,FT%,0.06310953846153847
3P,ORB,-0.10141538461538457
3P,DRB,-0.38420000000000004
3P,AST,-0.7127230769230769
3P,STL,-0.24664615384615385
3P,BLK,-0.06815384615384615
3P,TOV,-0.1490307692307692
3P,PF,0.01316923076923078
3P,PTS,3.4928153846153847
3P,ORtg,4.385076923076924
3P,DRtg,-0.272
3P,ORPM,1.5292523076923072
3P,DRPM,-0.42771076923076917
3P,RPM,1.1015415384615386
3P,RPM_WINS,1.7106676923076927
3PA,FG,2.3316153846153846
3PA,FGA,5.189523076923077
3PA,FG%,0.009950923076923078
3PA,3P,2.461153846153846
3PA,3PA,5.580384615384616
3PA,3P%,0.11374784615384614
3PA,2P,-0.06633846153846143
3PA,2PA,-0.4248615384615388
3PA,2P%,0.013043384615384625
3PA,FT,0.9157692307692308
3PA,FTA,0.41216923076923073
3PA,FT%,0.13973784615384618
3PA,ORB,-0.16553846153846155
3PA,DRB,-0.765
3PA,AST,-1.5613076923076927
3PA,STL,-0.6882153846153843
3PA,BLK,-0.16498461538461537
3PA,TOV,-0.12487692307692298
3PA,PF,-0.01987692307692305
3PA,PTS,8.08013846153846
3PA,ORtg,7.549692307692307
3PA,DRtg,0.03600000000000002
3PA,ORPM,3.073510769230769
3PA,DRPM,-1.2797169230769232
3PA,RPM,1.7937938461538465
3PA,RPM_WINS,2.5513692307692306
3P%,FG,0.04688415384615384
3P%,FGA,0.08207523076923078
3P%,FG%,0.0005594692307692306
3P%,3P,0.055403538461538455
3P%,3PA,0.11374784615384614
3P%,3P%,0.004975958461538462
3P%,2P,-0.0076553846153846195
3P%,2PA,-0.03162461538461538
3P%,2P%,0.0005042338461538461
3P%,FT,0.048241692307692326
3P%,FTA,0.04392569230769231
3P%,FT%,0.004322058461538462
3P%,ORB,-0.010319384615384612
3P%,DRB,-0.019958000000000004
3P%,AST,-0.021977076923076926
3P%,STL,-0.005254153846153843
3P%,BLK,-0.004361846153846154
3P%,TOV,-0.008888769230769224
3P%,PF,0.006469230769230774
3P%,PTS,0.1963933846153846
3P%,ORtg,0.32149692307692307
3P%,DRtg,-0.03196
3P%,ORPM,0.10871910769230772
3P%,DRPM,-0.009891569230769228
3P%,RPM,0.09882753846153847
3P%,RPM_WINS,0.1515512923076923
2P,FG,2.3959384615384622
2P,FGA,5.008707692307691
2P,FG%,0.015240307692307708
2P,3P,-0.13301538461538456
2P,3PA,-0.06633846153846143
2P,3P%,-0.0076553846153846195
2P,2P,2.5469538461538463
2P,2PA,5.077446153846155
2P,2P%,0.014750461538461535
2P,FT,1.818923076923077
2P,FTA,2.192923076923077
2P,FT%,0.00867261538461536
2P,ORB,0.004153846153846201
2P,DRB,0.5696
2P,AST,1.30683076923077
2P,STL,0.21366153846153843
2P,BLK,0.005538461538461543
2P,TOV,1.1995076923076926
2P,PF,-0.43049230769230745
2P,PTS,6.482646153846154
2P,ORtg,-1.906769230769231
2P,DRtg,-0.2160000000000004
2P,ORPM,0.4972769230769234
2P,DRPM,-0.18409230769230778
2P,RPM,0.3131846153846157
2P,RPM_WINS,-0.16647692307692294
2PA,FG,4.53406153846154
2PA,FGA,11.330092307692308
2PA,FG%,-0.004340307692307665
2PA,3P,-0.5197846153846154
2PA,3PA,-0.4248615384615388
2PA,3P%,-0.03162461538461538
2PA,2P,5.077446153846155
2PA,2PA,11.734153846153845
2PA,2P%,-0.017054461538461546
2PA,FT,3.323076923076923
2PA,FTA,4.111076923076924
2PA,FT%,0.004043384615384584
2PA,ORB,0.0370461538461538
2PA,DRB,0.9704000000000003
2PA,AST,2.5763692307692314
2PA,STL,0.0683384615384616
2PA,BLK,6.153846153847337e-05
2PA,TOV,2.7856923076923077
2PA,PF,-0.9983076923076921
2PA,PTS,11.89855384615385
2PA,ORtg,-12.101230769230767
2PA,DRtg,0.46799999999999936
2PA,ORPM,0.08788307692307715
2PA,DRPM,-1.3276676923076922
2PA,RPM,-1.2397846153846146
2PA,RPM_WINS,-3.5014830769230763
2P%,FG,0.022976615384615384
2P%,FGA,-0.0047030769230769365
2P%,FG%,0.0011316769230769236
2P%,3P,0.008786153846153846
2P%,3PA,0.013043384615384625
2P%,3P%,0.0005042338461538461
2P%,2P,0.014750461538461535
2P%,2PA,-0.017054461538461546
2P%,2P%,0.001502135384615385
2P%,FT,0.01717476923076924
2P%,FTA,0.01729476923076924
2P%,FT%,0.0005014338461538453
2P%,ORB,0.00016246153846153854
2P%,DRB,0.006192000000000009
2P%,AST,-0.0027243076923077103
2P%,STL,0.009635384615384612
2P%,BLK,0.0008686153846153842
2P%,TOV,-0.0050590769230769266
2P%,PF,0.0001369230769230767
2P%,PTS,0.07152953846153846
2P%,ORtg,0.22842769230769228
2P%,DRtg,-0.03316000000000002
2P%,ORPM,0.03248763076923077
2P%,DRPM,0.02840412307692308
2P%,RPM,0.060891753846153834
2P%,RPM_WINS,0.09047716923076923
FT,FG,2.1934307692307695
FT,FGA,4.230446153846153
FT,FG%,0.01932384615384617
FT,3P,0.3953076923076923
FT,3PA,0.9157692307692308
FT,3P%,0.048241692307692326
FT,2P,1.818923076923077
FT,2PA,3.323076923076923
FT,2P%,0.01717476923076924
FT,FT,3.3649384615384617
FT,FTA,3.8633384615384614
FT,FT%,0.05766369230769228
FT,ORB,-0.0350769230769231
FT,DRB,0.20299999999999993
FT,AST,1.419184615384616
FT,STL,0.33196923076923085
FT,BLK,-0.007169230769230756
FT,TOV,1.028846153846154
FT,PF,-0.12375384615384602
FT,PTS,8.143276923076925
FT,ORtg,5.309384615384615
FT,DRtg,-0.9719999999999998
FT,ORPM,1.8783815384615385
FT,DRPM,0.02100615384615392
