x,y,value
FG,FG,12.2846855345912
FG,FGA,14.898301886792451
FG,FG%,0.2446009433962264
FG,3P,0.17050314465408778
FG,3PA,-0.019737945492662317
FG,3P%,6.794871794872348e-05
FG,2P,12.1211320754717
FG,2PA,14.918637316561844
FG,2P%,0.21455890985324946
FG,FT,1.2592976939203353
FG,FTA,1.3851153039832287
FG,FT%,0.0051015837104072615
FG,ORB,-0.339601677148847
FG,DRB,8.736949685534592
FG,AST,-2.657348008385744
FG,STL,-1.1901991614255765
FG,BLK,-0.23926624737945498
FG,TOV,2.069171907756814
FG,PF,7.960691823899371
FG,PTS,25.99362683438155
FG,ORtg,27.507651991614257
FG,DRtg,-3.888993710691824
FG,ORPM,2.474787211740041
FG,DRPM,-0.6106394129979036
FG,RPM,1.8641477987421384
FG,RPM_WINS,3.1145639412997896
FGA,FG,14.898301886792451
FGA,FGA,28.616226415094342
FGA,FG%,0.09029433962264152
FGA,3P,1.9999999999999998
FGA,3PA,5.42949685534591
FGA,3P%,0.013810294117647049
FGA,2P,12.930943396226416
FGA,2PA,23.178427672955976
FGA,2P%,0.035747798742138334
FGA,FT,5.198238993710691
FGA,FTA,6.1974842767295595
FGA,FT%,-0.012376960784313709
FGA,ORB,-0.056855345911949656
FGA,DRB,6.733018867924529
FGA,AST,-1.5201257861635227
FGA,STL,-1.5455345911949687
FGA,BLK,-0.0671069182389937
FGA,TOV,5.963522012578615
FGA,PF,5.10943396226415
FGA,PTS,36.962893081761
FGA,ORtg,-5.3446540880503175
FGA,DRtg,-1.9981132075471704
FGA,ORPM,5.153723270440252
FGA,DRPM,-1.596817610062892
FGA,RPM,3.5569056603773577
FGA,RPM_WINS,7.355157232704403
FG%,FG,0.2446009433962264
FG%,FGA,0.09029433962264152
FG%,FG%,0.009452632075471696
FG%,3P,-0.03354528301886792
FG%,3PA,-0.11173867924528301
FG%,3P%,-0.0008901866515837109
FG%,2P,0.27797169811320754
FG%,2PA,0.2021528301886792
FG%,2P%,0.009392169811320758
FG%,FT,-0.034904716981132074
FG%,FTA,-0.04614339622641509
FG%,FT%,0.0005034159125188545
FG%,ORB,-0.013866037735849058
FG%,DRB,0.23079528301886792
FG%,AST,-0.07091415094339622
FG%,STL,-0.010670754716981128
FG%,BLK,-0.008864150943396227
FG%,TOV,-0.02796698113207547
FG%,PF,0.21684528301886788
FG%,PTS,0.42109056603773587
