,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ORPM,DRPM,RPM,RPM_WINS
FG,5.129378151260505,9.540983193277311,0.06278546218487395,0.9598823529411761,2.0408319327731093,0.03892991596638653,4.145310924369747,7.542554621848738,0.06719613445378152,3.8375882352941177,3.993537815126049,0.14819000000000002,0.05758823529411764,0.5651680672268907,1.3532268907563028,0.25205042016806717,0.04300840336134456,0.6690252100840338,-1.106563025210084,15.00789075630252,13.55386554621849,-2.414621848739496,4.756043697478992,-0.1764588235294117,4.579584873949579,7.71333025210084
FGA,9.540983193277311,20.38028571428571,0.06197890756302522,1.8856470588235292,5.167210084033614,0.02340436974789914,7.612008403361346,15.314689075630255,0.07739394957983196,7.3198823529411765,7.643504201680673,0.2894270588235294,0.04458823529411773,0.9936134453781518,2.4256134453781524,0.34031932773109264,0.06715126050420166,1.4641008403361349,-2.013252100840336,28.201915966386558,17.406050420168068,-3.7943697478991605,7.705221848739497,-1.0703588235294113,6.634863025210083,11.244626890756301
FG%,0.06278546218487395,0.06197890756302522,0.0019877932773109254,0.0059800000000000035,-0.011958571428571424,0.0014206151260504197,0.05654991596638657,0.07405193277310924,0.0018614016806722687,0.04146352941176471,0.04310436974789917,0.0015291235294117656,0.0018899999999999987,0.007922689075630264,0.013716218487394972,0.004566218487394962,0.00128201680672269,0.0012431092436974882,-0.016606890756302527,0.17247966386554628,0.32665714285714287,-0.042103361344537835,0.0732621344537815,0.01113788235294119,0.08440001680672274,0.14142849579831934
3P,0.9598823529411761,1.8856470588235292,0.0059800000000000035,1.1839999999999997,2.8039411764705884,0.0361870588235294,-0.23611764705882343,-0.9198823529411764,0.012577647058823527,0.5361176470588235,0.2560588235294117,0.06902823529411765,-0.1412352941176471,-0.4361764705882353,-0.8969411764705885,-0.05517647058823528,-0.05035294117647058,-0.32811764705882357,-0.21282352941176472,3.6180588235294113,5.166470588235295,-0.7099999999999999,1.5780941176470586,-0.051723529411764786,1.526370588235294,2.361788235294117
3PA,2.0408319327731093,5.167210084033614,-0.011958571428571424,2.8039411764705884,7.359042016806722,0.0570742857142857,-0.7885042016806724,-2.1873445378151257,0.01215596638655462,1.1844705882352942,0.4757478991596636,0.17701294117647062,-0.3781764705882354,-1.1235714285714287,-2.451630252100841,-0.28163025210084025,-0.08460504201680674,-0.8420504201680674,-0.33352100840336124,8.02463025210084,8.79109243697479,-1.248403361344538,3.1110067226890763,-0.373129411764706,2.7378773109243695,4.0441865546218505
3P%,0.03892991596638653,0.02340436974789914,0.0014206151260504197,0.0361870588235294,0.0570742857142857,0.002581021848739495,0.002196806722689054,-0.03393243697478994,0.0012878521008403358,0.020814117647058802,0.011495462184873934,0.0020377235294117644,-0.004715294117647058,-0.01628193277310924,-0.03288663865546221,0.0001574789915966348,-0.002668655462184873,-0.01386478991596639,-0.015244201680672273,0.13406840336134448,0.3354420168067225,-0.03042773109243697,0.0712464033613445,-6.400000000001195e-05,0.07118240336134453,0.11781372268907561
2P,4.145310924369747,7.612008403361346,0.05654991596638657,-0.23611764705882343,-0.7885042016806724,0.002196806722689054,4.37146218487395,8.44431092436975,0.05438134453781516,3.294882352941177,3.7372016806722685,0.07817705882352943,0.2025294117647059,1.0090336134453781,2.2577983193277316,0.3001512605042017,0.09231932773109244,1.0007815126050423,-0.8927478991596638,11.32355462184874,8.330420168067226,-1.6691596638655462,3.1692134453781513,-0.11453529411764711,3.054678151260504,5.334202521008404
2PA,7.542554621848738,15.314689075630255,0.07405193277310924,-0.9198823529411764,-2.1873445378151257,-0.03393243697478994,8.44431092436975,17.603495798319326,0.06523789915966391,6.163,7.20318487394958,0.11315411764705884,0.4315294117647059,2.1201680672268908,4.885344537815127,0.6259327731092438,0.15194957983193283,2.3158487394957987,-1.6879747899159665,20.289126050420165,8.638571428571424,-2.5446218487394967,4.637149579831933,-0.7001882352941172,3.936961344537815,7.282224369747899
2P%,0.06719613445378152,0.07739394957983196,0.0018614016806722687,0.012577647058823527,0.01215596638655462,0.0012878521008403358,0.05438134453781516,0.06523789915966391,0.0019678201680672276,0.04410941176470589,0.04287302521008403,0.0022353941176470604,-4.941176470588043e-05,0.005951680672268918,0.007985798319327745,0.002176974789915966,0.0021636134453781506,-0.0029503361344537784,-0.014129747899159665,0.19044714285714287,0.3462974789915967,-0.04385798319327729,0.08159443697478992,0.011535764705882348,0.09313020168067226,0.15309842016806724
FT,3.8375882352941177,7.3198823529411765,0.04146352941176471,0.5361176470588235,1.1844705882352942,0.020814117647058802,3.294882352941177,6.163,0.04410941176470589,4.996000000000001,5.382882352941175,0.1636082352941177,0.1248235294117647,0.6802941176470592,1.5453529411764708,0.4109411764705883,0.05158823529411764,0.9891764705882354,-0.5784705882352943,13.16829411764706,11.543529411764705,-1.6535294117647061,4.438605882352941,-0.06358235294117644,4.375023529411766,7.125188235294116
