Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo,PG,21,MIL,80,2823,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1,1.5,2.4,3.2
2,Keith Appling,PG,23,ORL,5,27,-4.8,0.338,0.375,0.25,0,4.2,2.1,5,1.9,0,25.3,19.5,-0.1,0,-0.1,-0.199,-10.3,-2.7,-13,-0.1
3,D.J. Augustin,PG,28,TOT,62,1178,13.9,0.575,0.48,0.366,0.8,8,4.4,25.3,1.6,0.3,17.1,18,2,0.6,2.6,0.106,1,-2.7,-1.7,0.1
4,J.J. Barea,PG,31,DAL,74,1667,15.4,0.536,0.366,0.135,1.7,8.3,5,31.5,0.8,0.1,13,23.8,2.1,0.7,2.8,0.082,1.6,-2.8,-1.2,0.3
5,Patrick Beverley,PG,27,HOU,71,2041,13,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,0.102,1.4,-0.3,1.1,1.6
6,Steve Blake,PG,35,DET,58,986,9.8,0.51,0.629,0.083,1,9.2,4.9,29.5,1.2,0.4,24.6,14.6,0.3,0.8,1.1,0.053,-1.8,-1.8,-3.5,-0.4
7,Eric Bledsoe,PG,26,PHO,31,1059,20,0.557,0.262,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,1.6,1,2.5,0.116,2.7,0.1,2.8,1.3
8,Aaron Brooks,PG,31,CHI,69,1108,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4
9,Lorenzo Brown,PG,25,PHO,8,61,4.4,0.374,0.32,0.16,0,12.8,6.2,28,2.4,1.3,25.2,24.9,-0.3,0.1,-0.2,-0.157,-8.1,-1.4,-9.5,-0.1
10,Trey Burke,PG,23,UTA,64,1366,14,0.507,0.404,0.129,1.5,8,4.8,19.7,1.4,0.4,10.7,25.3,0.9,1.2,2.1,0.074,0.4,-2.5,-2,0
11,José Calderón,PG,34,NYK,72,2024,12.3,0.571,0.446,0.105,1.2,11,6.2,22.3,1.6,0.3,15.4,12.6,2.7,1.4,4,0.096,0.5,-0.6,-0.1,1
12,Michael Carter-Williams,PG,24,MIL,54,1649,13.9,0.497,0.099,0.292,3.4,15.7,9.6,26.6,2.5,2.1,19.6,21.3,-0.4,1.6,1.2,0.035,-1.6,0.9,-0.8,0.5
13,Mario Chalmers,PG,29,TOT,61,1373,17.3,0.561,0.336,0.59,1.9,11.5,6.5,26.6,3.3,0.9,16.4,21.9,2.3,1.5,3.8,0.132,1.8,-0.3,1.5,1.2
14,Norris Cole,PG,27,NOP,45,1198,10.8,0.465,0.211,0.134,0.9,13.5,7,22,1.5,0.3,12.8,21.7,-0.6,0.5,-0.1,-0.004,-2.4,-1.4,-3.7,-0.5
15,Darren Collison,PG,28,SAC,74,2219,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,1.8,-2.2,-0.4,0.9
16,Mike Conley,PG,28,MEM,56,1761,19.4,0.538,0.309,0.329,1.6,9.3,5.3,32.7,2,0.8,9.5,22.4,4.2,1.1,5.3,0.145,3.7,-1.9,1.7,1.7
17,Bryce Cotton,PG,23,TOT,8,39,1.7,0.4,0.3,0,0,0,0,10.8,3.7,0,33.3,16.5,-0.2,0,-0.1,-0.168,-9.3,-2.7,-12,-0.1
18,Seth Curry,PG,25,SAC,44,692,13.8,0.603,0.496,0.241,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,1.2,0.2,1.4,0.097,0.9,-2.4,-1.5,0.1
