Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
13,Trey Burke,PG,26,TOT,58,1125,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,0.7,-3.2,-2.5,-0.1
14,José Calderón,PG,37,DET,49,632,7.1,0.453,0.475,0.092,1.8,8.8,5.2,24.9,1.2,0.4,21.9,10.9,0,0.5,0.6,0.043,-4,-1.2,-5.1,-0.5
15,Isaiah Canaan,PG,27,TOT,30,629,8,0.518,0.585,0.146,1,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0,0.1,0.1,0.008,-2.4,-2.7,-5.1,-0.5
16,Jevon Carter,PG,23,MEM,39,577,7.8,0.432,0.551,0.173,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18,-0.7,0.7,0,-0.003,-3.8,-0.1,-4,-0.3
17,Michael Carter-Williams,PG,27,TOT,28,372,14.7,0.458,0.309,0.431,5.4,15,10.1,26.5,2.6,3.4,12,19.4,0.2,0.6,0.8,0.099,-2,2,0,0.2
18,Alex Caruso,PG,24,LAL,25,531,13.9,0.569,0.289,0.37,4,9,6.5,19.7,2.1,1.4,17.3,19,0.5,0.6,1,0.093,-0.9,0,-0.9,0.2
19,Troy Caupain,PG,23,ORL,4,16,30.7,0.625,0.375,0,6.6,13.6,10,42.5,3.1,0,0,21.8,0.1,0,0.1,0.347,9.4,-0.4,8.9,0
20,Joe Chealey,PG,23,CHO,1,8,2,0.333,0,0,0,0,0,17.7,0,0,0,16.2,0,0,0,-0.08,-9,-8.2,-17.2,0
21,Chris Chiozza,PG,23,HOU,7,33,7,0.375,0.625,0,3.3,10.3,6.7,16.1,1.5,2.6,11.1,11.8,0,0,0,0.023,-4.5,-0.2,-4.7,0
22,Darren Collison,PG,31,IND,76,2143,16.7,0.574,0.294,0.288,1.9,9.9,6,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,1.2,0,1.2,1.8
23,Mike Conley,PG,31,MEM,70,2342,21.4,0.569,0.38,0.363,1.9,9.7,5.7,33.4,2,0.9,9.1,27.3,5.7,2.3,8,0.164,4.8,-1.3,3.4,3.2
24,Quinn Cook,PG,25,GSW,74,1059,13.1,0.565,0.456,0.059,2.3,13,7.9,15.2,0.9,0.2,10,20.2,1,0.8,1.8,0.082,-0.2,-2.7,-2.9,-0.2
25,Stephen Curry,PG,30,GSW,69,2331,24.4,0.641,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,7.2,2.5,9.7,0.199,7.7,-1.4,6.3,4.9
26,Matthew Dellavedova,PG,28,TOT,48,812,11.1,0.532,0.537,0.215,0.8,9.9,5.2,31.9,0.8,0.2,20.4,17.9,0.5,0,0.5,0.028,-1.3,-4.1,-5.5,-0.7
27,Spencer Dinwiddie,PG,25,BRK,68,1914,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.9,-2.1,-0.2,0.8
28,Goran Dragić,PG,32,MIA,36,991,13.9,0.517,0.379,0.233,2.1,9.8,6,27.3,1.5,0.5,12.9,23.7,0.6,1,1.6,0.079,0.1,-1.3,-1.2,0.2
29,Kris Dunn,PG,24,CHI,46,1389,12.4,0.484,0.19,0.136,1.5,13.3,7.3,30,2.4,1.3,16.2,20.1,-0.5,1.2,0.6,0.022,-2,0.3,-1.8,0.1
30,Trevon Duval,PG,20,MIL,3,6,38.3,0.833,0.333,0,0,16,8.5,59,0,0,0,20.9,0.1,0,0.1,0.537,13.8,-4.1,9.7,0
31,Jawun Evans,PG,22,TOT,8,65,0.1,0.214,0.214,0,1.7,19,10.2,19.7,2.2,0,30,13.2,-0.2,0,-0.2,-0.151,-10.4,-0.1,-10.5,-0.1
32,Dante Exum,PG,23,UTA,42,664,11.2,0.516,0.257,0.357,2.7,8.3,5.5,24.1,1,0.6,15.7,21.3,0.2,0.7,1,0.069,-2.6,-1.4,-4,-0.3
33,Raymond Felton,PG,34,OKC,33,379,11.2,0.505,0.452,0.096,1.1,8.4,4.6,18.7,1.2,1.3,9,16.6,0.3,0.4,0.7,0.087,-2.3,-1.9,-4.2,-0.2
34,Yogi Ferrell,PG,25,SAC,71,1067,12.7,0.55,0.423,0.19,1.2,9.5,5.3,17,1.6,0.3,9.5,16.3,1.3,0.6,1.9,0.087,-0.5,-1.8,-2.3,-0.1
35,De'Aaron Fox,PG,21,SAC,81,2546,18.1,0.544,0.211,0.378,1.7,10.8,6.2,33.2,2.4,1.5,15,24.5,3.2,2.5,5.6,0.106,1.1,0,1.1,2
36,Tim Frazier,PG,28,TOT,59,1120,11.7,0.544,0.387,0.207,3.9,11.5,7.7,27.6,1.2,0.4,21.1,13.3,1.3,0.7,2,0.084,-1,-1.3,-2.3,-0.1
37,Shai Gilgeous-Alexander,PG,20,LAC,82,2174,13.4,0.554,0.194,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15,18.3,1.5,1.9,3.3,0.074,-0.6,0.2,-0.3,0.9
38,Brandon Goodwin,PG,23,DEN,16,57,8.3,0.413,0.261,0.478,1.9,3.8,2.8,32.1,0,0,9.7,23.1,0,0,0,0.021,-4.5,-6.4,-10.9,-0.1
39,Devonte' Graham,PG,23,CHO,46,676,10.3,0.459,0.56,0.213,1.6,8.6,5,24.8,1.7,0.3,11.3,17,0.2,0.3,0.5,0.035,-1.6,-2.7,-4.3,-0.4
40,Jerian Grant,PG,26,ORL,60,939,10.8,0.526,0.5,0.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,0.5,1.1,1.7,0.085,-1.9,-0.1,-2,0
41,James Harden,PG,29,HOU,78,2867,30.6,0.616,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,11.4,3.8,15.2,0.254,10.5,1.1,11.7,9.9
42,Devin Harris,PG,35,DAL,68,1071,10.7,0.527,0.576,0.386,1.2,9.9,5.6,16.7,1.6,1.3,12.1,18.5,0.6,0.9,1.5,0.068,-1.3,-0.9,-2.2,-0.1
43,Andrew Harrison,PG,24,TOT,17,187,5.8,0.443,0.472,0.34,3.4,8.5,5.8,17.1,1.1,0.9,16.5,16.8,-0.1,0,-0.1,-0.027,-3.8,-2.7,-6.6,-0.2
44,Shaquille Harrison,PG,25,CHI,73,1430,12.4,0.494,0.209,0.289,2.5,14.5,8.4,14.1,3,1.8,11.1,16.5,-0.1,1.6,1.4,0.048,-2.7,1.4,-1.3,0.2
45,George Hill,PG,32,TOT,60,1302,12.1,0.554,0.407,0.226,3.2,8.3,5.9,14,1.9,0.5,11,15.1,1.5,1.3,2.8,0.103,-0.6,-0.4,-1,0.3
46,Aaron Holiday,PG,22,IND,50,646,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.5,-1.1,-2.6,-0.1
47,Kyrie Irving,PG,26,BOS,67,2214,24.3,0.592,0.35,0.197,3.4,12.7,8.1,35,2.2,1.4,11.3,29.6,6.2,2.9,9.1,0.197,6,0.4,6.4,4.7
48,Demetrius Jackson,PG,24,PHI,6,39,21,0.656,0.4,0.267,5.6,2.6,4.1,19.6,2.4,0,5.6,19.1,0.2,0,0.2,0.231,4.4,-3.4,1,0
49,Frank Jackson,PG,20,NOP,61,1169,9.4,0.517,0.378,0.163,2.2,9.5,5.9,8,1,0.1,9.1,18.5,0.1,0.4,0.4,0.018,-2.2,-2.8,-5,-0.9
50,Reggie Jackson,PG,28,DET,82,2289,15.2,0.547,0.45,0.225,2.1,8.5,5.2,24.7,1.2,0.3,11.4,24.5,3.1,1.9,5,0.105,1.8,-2,-0.3,1
51,Tyler Johnson,PG,26,TOT,57,1529,12.4,0.532,0.494,0.241,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,0.9,1.4,2.3,0.071,-0.6,-0.4,-1,0.4
52,Tyus Jones,PG,22,MIN,68,1560,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9,14.1,2.1,0.9,3,0.091,-0.3,-1.5,-1.8,0.1
53,Cory Joseph,PG,27,IND,82,2063,11,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2,1.4,-0.5,0.8
54,Brandon Knight,PG,27,TOT,39,736,8.9,0.484,0.496,0.131,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0,0,-0.002,-1.9,-3.1,-5,-0.6
55,Walt Lemon,PG,26,CHI,6,167,16.3,0.468,0.057,0.126,2.6,15.1,8.8,30.3,3.2,0.5,9.8,26.6,-0.1,0.2,0.1,0.026,-1.5,0.1,-1.4,0
56,Damian Lillard,PG,28,POR,80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-1.1,5.5,5.4
57,Jeremy Lin,PG,30,TOT,74,1436,13.5,0.558,0.346,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.1,-1.8,-2.9,-0.3
58,Shaun Livingston,PG,33,GSW,64,967,11.7,0.555,0.01,0.243,4.9,7.9,6.5,14.8,1.5,2.3,14.1,12,1.2,0.9,2,0.101,-1.9,0.5,-1.5,0.1
59,Kyle Lowry,PG,32,TOR,65,2213,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2,1.2,18.1,19.6,3.6,3,6.6,0.144,2.5,0.6,3.1,2.8
60,Jordan Loyd,PG,25,TOR,12,55,16.3,0.635,0.444,0.611,2,15.3,8.8,15.1,0,0,8.1,19.4,0.2,0,0.2,0.19,1,-3,-2,0
61,Kalin Lucas,PG,29,DET,1,6,16.6,0.532,1,2,0,56.7,27.3,20.8,0,0,0,13.5,0,0,0,0.238,-1,0.5,-0.6,0
62,Scott Machado,PG,28,LAL,4,19,22.2,0.776,0.167,0.167,0,0,0,23.5,2.4,0,0,14,0.1,0,0.1,0.281,2.4,-6.8,-4.4,0
63,Shelvin Mack,PG,28,TOT,57,1246,10.4,0.489,0.323,0.208,1.6,7.9,4.7,22.6,1.9,0.3,13,18.1,-0.2,1.1,0.9,0.034,-2.6,-1.5,-4.1,-0.7
64,Frank Mason,PG,24,SAC,38,435,12.4,0.502,0.379,0.337,1.4,9,5.1,26.3,1.7,0.8,15.6,21.8,0,0.3,0.3,0.033,-2,-2.5,-4.5,-0.3
65,T.J. McConnell,PG,26,PHI,76,1470,13.4,0.555,0.1,0.088,2.1,10.2,6.3,24.7,2.5,0.9,17.3,15,1.2,1.7,2.9,0.094,-1.7,0,-1.6,0.1
66,De'Anthony Melton,PG,20,PHO,50,984,9.9,0.466,0.371,0.109,2.8,12.5,7.5,22.3,3.3,1.9,21.8,15,-0.8,0.8,0,0.002,-3.5,1,-2.6,-0.1
67,Patty Mills,PG,30,SAS,82,1908,13.2,0.572,0.609,0.155,1.4,8.9,5.2,17.6,1.3,0.4,11.6,18.5,2.2,1.2,3.5,0.087,1.5,-2,-0.5,0.7
68,Monte Morris,PG,23,DEN,82,1970,16.2,0.577,0.323,0.115,1.9,8.8,5.3,21.7,1.8,0.2,6.6,17.1,4.4,1.8,6.2,0.151,1.5,-1.3,0.2,1.1
69,Emmanuel Mudiay,PG,22,NYK,59,1607,14.6,0.531,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1,14.6,25.6,0.1,0.7,0.8,0.023,-0.5,-1.9,-2.4,-0.2
70,Jamal Murray,PG,21,DEN,75,2447,16,0.538,0.353,0.19,2.9,11.2,7,22.4,1.3,1,11.1,24.9,2.8,2.3,5.1,0.1,1.1,-1,0.1,1.3
71,Shabazz Napier,PG,27,BRK,56,983,15.3,0.534,0.524,0.317,1.9,8.7,5.3,22.2,2,1.3,11.7,24,1,1,2,0.098,0.5,-1.1,-0.7,0.3
72,Raul Neto,PG,26,UTA,37,474,13.5,0.558,0.373,0.205,1.4,12.6,7.1,28.7,1.4,0.7,16.6,19,0.5,0.6,1.1,0.116,-1,-0.6,-1.6,0
73,Frank Ntilikina,PG,20,NYK,43,904,6,0.417,0.408,0.106,1.4,8.9,5,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-4.5,-1.2,-5.7,-0.8
74,Elie Okobo,PG,21,PHO,53,958,7.6,0.489,0.455,0.162,1.4,10.1,5.7,18.7,1.6,0.6,18.2,17,-0.7,0.2,-0.5,-0.027,-3.7,-2.2,-5.9,-0.9
75,Tony Parker,PG,36,CHO,56,1003,15.3,0.512,0.11,0.268,1.5,7.6,4.5,33.3,1,0.6,12.7,25.5,0.6,0.3,0.9,0.044,-1.5,-3.7,-5.3,-0.8
76,Chris Paul,PG,33,HOU,58,1857,19.7,0.56,0.493,0.282,2.1,13.9,7.9,39.3,3,0.8,15.8,22.5,4.4,2.2,6.6,0.172,2.9,0.2,3,2.4
77,Cameron Payne,PG,24,TOT,40,712,11.5,0.519,0.377,0.184,2,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-1.9,-1.6,-3.5,-0.3
78,Elfrid Payton,PG,24,NOP,42,1250,14,0.502,0.255,0.18,4.1,14,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.058,-0.7,-0.1,-0.9,0.4
79,Gary Payton,PG,26,WAS,3,16,36.9,0.688,0.25,0,6.7,6.9,6.8,45.1,8.9,5.3,11.1,23.8,0.1,0,0.1,0.358,9.8,5.2,14.9,0.1
80,Chasson Randle,PG,25,WAS,49,743,9.9,0.555,0.53,0.286,1.4,6.8,4.1,17.5,1.6,0.3,15,16.4,0.4,0.2,0.6,0.041,-1.4,-3,-4.4,-0.4
81,Rajon Rondo,PG,32,LAL,46,1369,12.1,0.473,0.329,0.083,2.6,15.5,9.2,35.5,1.9,0.4,22.1,17.4,-0.2,1.5,1.3,0.047,-2,0.5,-1.6,0.1
82,Derrick Rose,PG,30,MIN,51,1392,19.5,0.557,0.194,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3,0.102,2.3,-2.9,-0.6,0.5
83,Terry Rozier,PG,24,BOS,79,1791,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1,8.8,18.6,0.9,2.3,3.2,0.086,-1,0.2,-0.7,0.6
84,Ricky Rubio,PG,28,UTA,68,1899,14,0.52,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,0.9,2.8,3.7,0.095,-0.6,0.6,0,0.9
85,D'Angelo Russell,PG,22,BRK,81,2448,19.4,0.533,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5,0.097,3.9,-0.5,3.4,3.3
86,Tomáš Satoranský,PG,27,WAS,80,2164,14.1,0.59,0.306,0.302,4,10,7,24.6,1.8,0.5,16.7,14.1,3.8,0.9,4.7,0.104,0.4,-1,-0.6,0.8
87,Dennis Schröder,PG,25,OKC,79,2314,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.6,-1.5,-3.1,-0.6
88,Collin Sexton,PG,20,CLE,82,2605,12,0.52,0.245,0.211,2.3,8,5,15.3,0.8,0.2,12.3,25.2,-0.1,-0.5,-0.6,-0.011,-1.5,-3.7,-5.2,-2.1
89,Ben Simmons,PG,22,PHI,79,2700,20,0.582,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,4.6,3.6,8.2,0.146,1.4,2.6,4.1,4.1
90,Kobi Simmons,PG,21,CLE,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.033,-6.3,-0.9,-7.3,0
91,Dennis Smith,PG,21,TOT,53,1508,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0,0.001,-1.7,-0.9,-2.5,-0.2
92,Ish Smith,PG,30,DET,56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.7,-1.1,-2.8,-0.2
93,Edmond Sumner,PG,23,IND,23,210,7.6,0.443,0.422,0.375,4.9,7.8,6.3,6.3,2.8,2.1,11.8,17.6,-0.2,0.3,0.1,0.02,-4.1,0.5,-3.6,-0.1
94,Jeff Teague,PG,30,MIN,42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0,-2.4,-2.4,-0.1
95,Miloš Teodosić,PG,31,LAC,15,150,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,-0.1,0.1,-0.1,-0.019,-2.9,-3.2,-6.1,-0.2
96,Evan Turner,PG,30,POR,73,1605,11.6,0.504,0.117,0.239,2.5,18.9,10.9,23.6,1,0.9,18.9,15.9,0.5,1.5,2,0.06,-2.5,0.7,-1.8,0.1
97,Tyler Ulis,PG,23,CHI,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.015,-6.7,-0.4,-7.1,0
98,Fred VanVleet,PG,24,TOR,64,1760,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.7,-0.7,0,0.9
99,Kemba Walker,PG,28,CHO,82,2863,21.7,0.558,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1,10.1,31.5,5.5,1.9,7.4,0.123,5.1,-1.7,3.3,3.9
100,John Wall,PG,28,WAS,32,1104,18,0.527,0.306,0.317,1.5,10.1,5.7,39.2,2.1,2.2,16.1,28.8,0.5,0.7,1.2,0.051,1.1,-1.2,-0.2,0.5
101,Tyrone Wallace,PG,24,LAC,62,628,7,0.45,0.088,0.263,3.5,13.2,8.5,9.5,1.6,0.9,12.9,18.7,-0.8,0.5,-0.3,-0.023,-5.5,-0.9,-6.3,-0.7
102,Brad Wanamaker,PG,29,BOS,36,343,14.3,0.597,0.371,0.267,0.9,11.8,6.4,22.5,1.7,0.5,13.9,17.1,0.6,0.4,1,0.134,-0.8,-1.4,-2.2,0
103,Russell Westbrook,PG,30,OKC,73,2630,21.1,0.501,0.279,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,1.8,5,6.8,0.124,2.5,3.9,6.5,5.6
104,Derrick White,PG,24,SAS,67,1728,14.8,0.555,0.262,0.227,2.2,13.3,7.8,21,1.9,2.3,14,17.7,1.7,1.9,3.6,0.101,-0.2,1.1,0.9,1.3
105,Delon Wright,PG,26,TOT,75,1699,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11,18.1,1.9,2.4,4.3,0.121,0,1.5,1.5,1.5
106,Trae Young,PG,20,ATL,81,2503,17,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,1.8,-2.8,-1.1,0.6
