Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
32,Jimmer Fredette,PG,25,NOP,50,0,509,6.5,17.1,0.38,0.9,5,0.188,5.6,12.2,0.458,4.4,4.6,0.956,0.8,3.3,4.1,6,1.5,0.2,3.4,4.4,18.4,97,111
33,Langston Galloway,PG,23,NYK,45,41,1457,7.4,18.5,0.399,2.2,6.4,0.352,5.1,12.1,0.424,2.3,2.8,0.808,1.3,5.5,6.9,5.4,1.9,0.4,2.2,4.7,19.3,101,111
34,Erick Green,PG,23,DEN,43,1,410,7.4,19.7,0.377,1.7,5.7,0.298,5.7,14,0.409,1.2,1.5,0.833,0.9,2.9,3.8,4.8,1.5,0,1.7,3.2,17.8,95,112
35,Jorge Gutiérrez,PG,26,TOT,20,1,175,6.4,12,0.537,0,0.9,0,6.4,11.1,0.579,2.6,3.8,0.692,1.5,5.9,7.3,6.4,1.8,0,3.5,7.3,15.5,105,105
36,Devin Harris,PG,31,DAL,76,3,1685,6.6,15.7,0.418,2.8,8,0.357,3.7,7.7,0.481,4,4.8,0.815,0.4,3.7,4,7.1,2.3,0.4,2.5,4.4,19.9,113,108
37,George Hill,PG,28,IND,43,36,1267,10.4,21.8,0.477,2.8,7.8,0.358,7.6,13.9,0.544,4.6,5.8,0.79,1,6.3,7.3,8.9,1.8,0.6,2.8,4.5,28.1,117,103
38,Jrue Holiday,PG,24,NOP,40,37,1303,9.6,21.5,0.446,2.1,5.4,0.378,7.5,16.1,0.469,2.6,3.1,0.855,1.3,4.2,5.4,11,2.5,0.9,3.7,4.4,23.9,109,107
39,Kyrie Irving,PG,22,CLE,75,75,2730,11,23.5,0.468,3,7.2,0.415,8,16.3,0.491,6,7,0.863,1,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31,117,108
40,Jarrett Jack,PG,31,BRK,80,27,2241,8.3,18.9,0.439,0.9,3.4,0.267,7.4,15.5,0.477,4.6,5.2,0.881,0.4,5.2,5.7,8.6,1.7,0.3,4.4,3.3,22.1,101,109
41,Reggie Jackson,PG,24,TOT,77,40,2268,9.7,22.3,0.434,1.6,5.4,0.299,8.1,16.9,0.477,4,4.9,0.83,1.3,6.1,7.3,10.3,1.4,0.2,4.2,3.7,25,106,108
42,Brandon Jennings,PG,25,DET,41,41,1173,9.6,23.9,0.401,3.4,9.3,0.36,6.3,14.6,0.428,5.3,6.3,0.839,0.9,3.7,4.6,12,1.9,0.2,4,2.8,27.9,110,109
43,Cory Joseph,PG,23,SAS,79,14,1444,7.3,14.6,0.504,0.6,1.6,0.364,6.8,13,0.52,3.7,5.1,0.734,1.6,5.2,6.8,6.7,1.6,0.6,2.4,3.7,19,115,104
44,Shane Larkin,PG,22,NYK,76,22,1865,5.3,12.2,0.433,1,3.3,0.302,4.3,8.9,0.481,1.7,2.2,0.782,0.8,4.1,5,6.4,2.6,0.3,2.3,4.2,13.3,102,110
45,Zach LaVine,PG,19,MIN,77,40,1902,7.6,18.1,0.422,1.5,4.5,0.341,6.1,13.6,0.449,4,4.7,0.842,0.7,5,5.7,7.4,1.4,0.3,5.2,4.2,20.8,95,114
46,Ty Lawson,PG,27,DEN,75,75,2665,7.6,17.4,0.436,1.3,3.8,0.341,6.3,13.5,0.463,5,6.8,0.73,0.8,3.6,4.4,13.5,1.7,0.2,3.5,2.4,21.4,113,111
47,Damian Lillard,PG,24,POR,82,82,2925,10.3,23.7,0.434,3.4,10,0.343,6.9,13.7,0.5,6,6.9,0.864,0.9,5.7,6.6,8.8,1.7,0.4,3.9,2.9,30,112,105
48,Jeremy Lin,PG,26,LAL,74,30,1907,7.4,17.5,0.424,1.7,4.7,0.369,5.7,12.8,0.444,5.7,7.2,0.795,0.7,4.6,5.2,9.1,2.2,0.9,4.4,5.1,22.3,104,110
49,Shaun Livingston,PG,29,GSW,78,2,1468,6.6,13.2,0.5,0,0.1,0,6.6,13.1,0.503,2.2,3,0.714,1.4,4.7,6.1,8.6,1.6,0.7,3.4,3.7,15.3,107,104
50,Kyle Lowry,PG,28,TOR,70,70,2414,9.2,22.3,0.412,2.8,8.4,0.338,6.4,14,0.457,5.4,6.7,0.808,1.2,5.9,7,10.1,2.3,0.3,3.7,4.5,26.6,110,107
51,Kalin Lucas,PG,25,MEM,1,0,6,0,8.7,0,0,0,,0,8.7,0,0,0,,0,0,0,0,8.7,0,0,8.7,0,0,93
52,John Lucas III,PG,32,DET,21,0,272,8,19.8,0.404,1.7,5.5,0.31,6.3,14.3,0.44,1,1,1,0.8,2.3,3,11.4,1.5,0,3,3.4,18.6,103,111
53,Shelvin Mack,PG,24,ATL,55,0,833,7.2,17.9,0.401,2.5,7.8,0.315,4.7,10.1,0.467,1.5,1.9,0.806,0.5,4.4,4.8,9.5,1.8,0.1,3,2,18.3,102,106
54,Kendall Marshall,PG,23,MIL,28,3,417,5.6,12.4,0.455,2.2,5.6,0.391,3.4,6.7,0.509,1,1.1,0.889,0.2,3.2,3.4,10.5,2.6,0,4.3,3.2,14.4,104,105
55,Ray McCallum,PG,23,SAC,68,30,1436,7.2,16.5,0.438,1.2,3.9,0.306,6,12.6,0.479,2,2.9,0.679,1.8,4.5,6.3,6.6,1.6,0.4,3,3.2,17.6,102,111
56,Jerel McNeal,PG,27,PHO,6,0,36,4.2,15.2,0.273,1.4,2.8,0.5,2.8,12.5,0.222,2.8,2.8,1,0,4.2,4.2,2.8,4.2,1.4,6.9,6.9,12.5,61,102
57,Gal Mekel,PG,26,NOP,4,0,43,3.7,24.4,0.15,0,3.7,0,3.7,20.8,0.176,0,0,,0,1.2,1.2,15.9,2.4,0,2.4,1.2,7.3,61,111
58,Andre Miller,PG,38,TOT,81,0,1253,5.9,11.8,0.5,0.3,1.4,0.206,5.6,10.4,0.539,2.4,3.1,0.753,1.5,4.7,6.2,11.5,1.3,0.2,4.2,4.2,14.4,107,109
59,Patty Mills,PG,26,SAS,51,0,801,8.2,21.5,0.381,4,11.6,0.341,4.2,9.8,0.429,2.1,2.6,0.825,1.3,3.5,4.8,5.6,1.8,0.1,2.2,3.7,22.4,103,105
60,Darius Morris,PG,24,BRK,38,0,299,6.2,18.4,0.34,1.2,5.7,0.212,5,12.6,0.397,0.7,1.6,0.444,1.2,3.5,4.7,8.3,1.6,0,3.6,3.5,14.4,83,111
61,Shabazz Napier,PG,23,MIA,51,10,1012,4.5,11.9,0.382,2.2,6.2,0.364,2.3,5.7,0.4,2.3,2.9,0.786,0.9,5,5.9,6.8,2.1,0.2,4.2,4,13.6,95,108
62,Jameer Nelson,PG,32,TOT,63,29,1407,7.3,18,0.407,3.2,9.2,0.345,4.1,8.8,0.472,0.9,1.3,0.667,1.2,4,5.2,9,1.7,0.2,3.9,4.8,18.6,101,110
63,Jannero Pargo,PG,35,CHO,9,0,73,10.6,24.8,0.429,6.4,15.6,0.409,4.2,9.2,0.462,1.4,1.4,1,0,2.1,2.1,5.7,0,0,2.1,5.7,29,111,111
64,Tony Parker,PG,32,SAS,68,68,1953,10.6,21.8,0.486,1,2.3,0.427,9.6,19.5,0.493,3.4,4.4,0.783,0.4,3,3.4,8.8,1.2,0.1,3.8,2.8,25.6,105,107
65,Chris Paul,PG,29,LAC,82,82,2857,10.1,20.8,0.485,2.5,6.2,0.398,7.6,14.6,0.523,5.1,5.7,0.9,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,126,105
66,Elfrid Payton,PG,20,ORL,82,63,2489,6.2,14.5,0.425,0.2,0.9,0.262,6,13.7,0.435,2.4,4.4,0.551,2.2,5,7.2,11,2.9,0.4,4.2,4,15,97,107
67,Phil Pressey,PG,23,BOS,50,0,600,5.3,14.5,0.368,1.3,5.4,0.246,4,9.1,0.44,2.8,4.1,0.673,1.1,5.6,6.7,9.8,2.5,0.5,3.4,4.5,14.8,97,104
68,A.J. Price,PG,28,TOT,26,0,324,8.1,21.7,0.372,2.4,9,0.263,5.7,12.7,0.45,2.5,3.8,0.667,1,4.1,5.1,7.3,1.1,0,2.2,2.4,21.1,98,108
69,Ronnie Price,PG,31,LAL,43,20,982,4,11.6,0.345,1.6,5.7,0.284,2.4,5.9,0.404,1.9,2.3,0.8,1,2.6,3.6,8.6,3.5,0.2,2.7,6.1,11.5,99,109
70,Pablo Prigioni,PG,37,TOT,67,3,1197,3.9,9.8,0.399,2.5,7.2,0.343,1.5,2.7,0.548,1.5,1.8,0.854,1.3,3.8,5.1,7.4,3.4,0,2.7,3.8,11.8,111,107
71,Luke Ridnour,PG,33,ORL,47,0,683,5.6,13.2,0.426,1.5,4.7,0.317,4.1,8.5,0.487,1.3,1.6,0.857,0.6,4.5,5.1,7.2,1.5,0.3,2.8,5,14.1,101,110
72,Brian Roberts,PG,29,CHO,72,10,1330,6.8,17.5,0.389,2.4,7.5,0.321,4.4,10.1,0.44,2.6,2.9,0.892,0.5,3.7,4.2,6.3,1.3,0.2,2.2,2.9,18.6,101,107
73,Nate Robinson,PG,30,TOT,42,1,591,7.5,21.6,0.345,2.6,9.5,0.277,4.8,12.1,0.399,2.6,3.9,0.674,1.4,2.8,4.2,8.2,1.7,0.3,2.5,6.4,20.2,97,111
74,Rajon Rondo,PG,28,TOT,68,68,2018,6.9,16.1,0.426,0.7,2.1,0.314,6.2,13.9,0.444,0.8,1.9,0.397,1.8,7.5,9.3,13.4,2.3,0.2,5.2,3.8,15.2,95,105
75,Derrick Rose,PG,26,CHI,51,51,1530,11.4,28.2,0.405,2.6,9.2,0.28,8.9,19.1,0.465,5.1,6.3,0.813,1.2,4.3,5.4,8.5,1.2,0.5,5.4,2.1,30.6,97,108
76,Ricky Rubio,PG,24,MIN,22,22,692,5.7,16.1,0.356,1,3.7,0.255,4.8,12.3,0.387,4.2,5.2,0.803,1.4,7.8,9.2,14.2,2.8,0.1,4.7,4.3,16.6,98,110
77,Dennis Schröder,PG,21,ATL,77,10,1516,9.6,22.4,0.427,1.8,5,0.351,7.8,17.4,0.449,5,6,0.827,1,4.6,5.5,10.7,1.7,0.1,5.1,4.3,25.9,101,106
78,Ramon Sessions,PG,28,TOT,64,10,1188,5.3,14.3,0.374,0.8,2.6,0.317,4.5,11.7,0.387,5.7,7.4,0.769,1,5.2,6.2,7.8,1.2,0,3.7,3.1,17.2,100,109
79,Donald Sloan,PG,27,IND,53,21,1107,6.7,16.5,0.408,1.9,6.1,0.313,4.8,10.4,0.464,2.8,3.6,0.779,0.6,6.1,6.7,8.8,1.1,0,3,2.2,18.2,104,106
80,Marcus Smart,PG,20,BOS,67,38,1808,4.8,13.2,0.367,2.5,7.5,0.335,2.3,5.7,0.41,2.3,3.5,0.646,1.7,4.5,6.1,5.8,2.7,0.5,2.5,4.9,14.5,101,104
81,Ish Smith,PG,26,TOT,55,14,832,8.6,22.1,0.39,1.1,3.6,0.3,7.5,18.5,0.407,2,3.4,0.596,0.9,5.1,6,10.8,2.2,0.4,4.7,3,20.4,91,107
82,Russ Smith,PG,23,TOT,12,0,65,6.4,20.1,0.32,1.6,8.9,0.182,4.8,11.3,0.429,9.7,10.5,0.923,0.8,4,4.8,6.4,2.4,0,9.7,10.5,24.2,81,106
83,David Stockton,PG,23,SAC,3,0,33,3.1,9.2,0.333,1.5,3.1,0.5,1.5,6.1,0.25,4.6,9.2,0.5,0,3.1,3.1,13.7,3.1,0,6.1,1.5,12.2,90,109
84,Rodney Stuckey,PG,28,IND,71,36,1874,9.1,20.7,0.44,1.5,3.9,0.39,7.6,16.9,0.452,4.9,5.9,0.819,1,5.8,6.8,6,1.5,0.3,3.2,3.6,24.6,104,105
85,Jeff Teague,PG,26,ATL,73,72,2228,9.4,20.3,0.46,1.6,4.7,0.343,7.7,15.6,0.496,6.3,7.3,0.862,0.7,3.5,4.2,11.8,2.9,0.7,4.7,3.2,26.7,111,104
86,Sebastian Telfair,PG,29,OKC,16,1,327,7.1,19.2,0.368,2.8,9.2,0.3,4.3,10,0.431,3.7,5.2,0.706,0.3,4.3,4.6,6.9,1.5,0,2.8,4.4,20.5,102,109
87,Isaiah Thomas,PG,25,TOT,67,1,1726,9.7,23.1,0.42,3.7,10,0.373,6,13,0.457,8.7,10.1,0.868,1,3.5,4.4,8.2,1.6,0.1,4.1,4.3,31.8,114,109
88,Beno Udrih,PG,32,MEM,79,12,1494,8.6,17.6,0.487,0.9,3.4,0.268,7.7,14.3,0.539,3,3.6,0.853,0.7,4.3,5,7.7,1.6,0.3,3.1,3.1,21.1,108,105
89,Greivis Vásquez,PG,28,TOR,82,29,1991,7.7,18.8,0.408,3.5,9.1,0.379,4.2,9.7,0.436,1.3,1.7,0.758,0.6,5,5.6,7.8,1.2,0.3,3.1,4.6,20.1,105,110
90,Kemba Walker,PG,24,CHO,62,58,2119,9.2,23.9,0.385,2.1,6.8,0.304,7.1,17.1,0.418,5.7,6.9,0.827,0.9,4.5,5.4,7.7,2.2,0.8,2.4,2.2,26.2,103,104
91,John Wall,PG,24,WAS,79,79,2837,9.4,21.1,0.445,1.2,3.9,0.3,8.2,17.1,0.478,5.1,6.5,0.785,0.7,6,6.6,14.3,2.5,0.8,5.5,3.3,25.1,105,102
92,C.J. Watson,PG,30,IND,57,21,1422,6.6,15.1,0.434,2.5,6.3,0.4,4,8.8,0.459,5,6.1,0.826,0.7,5.3,5.9,7.5,2.1,0.3,3.6,3.9,20.6,110,104
93,Russell Westbrook,PG,26,OKC,67,67,2302,13.7,32,0.426,1.9,6.3,0.299,11.8,25.8,0.457,11.9,14.2,0.835,2.7,7.9,10.6,12.5,3,0.3,6.4,4,41.1,111,103
94,Deron Williams,PG,30,BRK,68,55,2114,7.3,18.9,0.387,2.1,5.8,0.367,5.2,13.1,0.395,4.9,5.9,0.834,0.7,5.1,5.8,11,1.6,0.4,3.8,3.8,21.6,105,109
95,Mo Williams,PG,32,TOT,68,33,1980,8.8,22.2,0.397,3.1,9,0.342,5.7,13.2,0.434,4.2,4.8,0.872,0.6,3.9,4.5,11,1.2,0.4,4.4,4.2,24.9,102,112
96,Nate Wolters,PG,23,TOT,21,0,247,4.2,11.9,0.351,0,1.5,0,4.2,10.5,0.4,0.4,1.3,0.333,1.7,5.4,7.1,4.4,1.7,0.4,2.7,3.8,8.8,77,106
97,Tony Wroten,PG,21,PHI,30,15,895,9.8,24.3,0.403,2.1,8,0.261,7.7,16.4,0.473,6.7,10.1,0.667,1.2,3.6,4.8,8.8,2.7,0.4,6.3,4,28.4,94,106
