Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,Brandon Knight,PG-SG,23,TOT,63,61,2035,9.4,22.2,0.422,3.1,8,0.389,6.2,14.2,0.441,4.9,5.6,0.874,0.7,5.4,6.1,8.2,2.2,0.2,4.7,2.8,26.7,103,104
2,Austin Rivers,PG-SG,22,TOT,76,5,1563,6.7,16.4,0.409,1.3,4.3,0.298,5.4,12,0.449,2.8,4.2,0.675,0.9,4.1,5,5.1,1.6,0.5,2.1,4.8,17.5,100,109
3,D.J. Augustin,PG,27,TOT,82,14,1964,6.7,16.9,0.399,2.2,6.4,0.337,4.6,10.4,0.436,4.6,5.3,0.868,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,107,110
4,J.J. Barea,PG,30,DAL,77,10,1362,8.3,19.8,0.42,2,6.2,0.323,6.3,13.7,0.463,2.8,3.5,0.809,0.9,4.1,5,9.7,1.2,0,2.6,3.9,21.5,109,110
5,Jerryd Bayless,PG,26,MIL,77,4,1717,6.5,15.3,0.426,1.1,3.6,0.308,5.4,11.8,0.462,3.6,4.1,0.883,0.7,5.6,6.3,6.9,1.8,0.4,4,4.8,17.8,99,104
6,Patrick Beverley,PG,26,HOU,56,55,1727,5.9,15.3,0.383,3.3,9.3,0.356,2.6,6,0.426,1.3,1.7,0.75,1.9,4.9,6.8,5.5,1.7,0.7,2.4,5.2,16.4,107,106
7,Steve Blake,PG,34,POR,81,0,1529,4.1,10.9,0.373,2.6,7.3,0.352,1.5,3.6,0.417,1,1.4,0.707,0.5,4,4.6,9.6,1.4,0.2,3.5,3.9,11.7,103,107
8,Eric Bledsoe,PG,25,PHO,81,81,2800,8.3,18.6,0.447,1.6,4.8,0.324,6.8,13.8,0.491,6.3,7.9,0.8,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,107,106
9,Aaron Brooks,PG,30,CHI,82,21,1885,9.4,22.4,0.421,3.3,8.6,0.387,6.1,13.8,0.442,4,4.8,0.833,0.9,3.7,4.6,7.2,1.5,0.4,4.3,5.2,26.2,103,107
10,Lorenzo Brown,PG,24,MIN,29,7,549,4.8,11.3,0.426,0.6,2.6,0.214,4.3,8.7,0.489,1.1,1.8,0.632,1.3,5.2,6.5,8.3,2.6,0.6,2.8,4.5,11.3,99,111
11,Trey Burke,PG,22,UTA,76,43,2288,8.6,23.3,0.368,2.9,9.1,0.318,5.7,14.3,0.4,2.5,3.4,0.752,0.7,4,4.7,7.6,1.5,0.3,2.9,2.8,22.6,100,108
12,Dwight Buycks,PG,25,LAL,6,0,123,7.5,16.6,0.45,2.9,4.6,0.636,4.6,12,0.379,3.7,4.2,0.9,0.8,4.2,5,5.8,1.2,0,5,1.2,21.6,102,114
13,José Calderón,PG,33,NYK,42,42,1270,6.1,14.7,0.415,2.4,5.9,0.415,3.6,8.8,0.415,1.2,1.3,0.906,0.8,4.4,5.1,8.2,1.3,0,3.1,3.2,15.8,103,113
14,Isaiah Canaan,PG,23,TOT,47,21,938,7.8,20.1,0.386,4.8,13.1,0.37,2.9,7,0.417,2.6,3.2,0.817,1,3.7,4.6,5.2,1.5,0.2,3.3,4.4,23,103,108
15,Michael Carter-Williams,PG,23,TOT,66,63,2149,8.5,21.6,0.396,0.8,3.6,0.235,7.7,18,0.428,4.7,6.8,0.694,1.5,6.8,8.3,10.4,2.6,0.7,5.9,3.9,22.7,91,103
16,Mario Chalmers,PG,28,MIA,80,37,2368,6,14.8,0.403,1.6,5.5,0.294,4.3,9.3,0.467,4.6,5.9,0.774,0.5,4.1,4.6,6.8,2.7,0.2,3.9,5.6,18.1,100,107
17,Will Cherry,PG,23,CLE,8,0,69,3.8,14.3,0.263,1.5,6.8,0.222,2.3,7.5,0.3,2.3,4.5,0.5,0.8,3,3.8,6,4.5,0.8,3,7.5,11.3,80,103
18,Jordan Clarkson,PG,22,LAL,59,38,1476,9.2,20.6,0.448,1.3,4.2,0.314,7.9,16.4,0.482,4.5,5.5,0.829,1.9,4.7,6.6,7.1,1.8,0.4,3.3,3.8,24.3,107,112
19,Norris Cole,PG,26,TOT,75,25,1831,6.6,16.1,0.412,1.6,5.1,0.313,5,11,0.458,1.7,2.3,0.716,0.4,4.2,4.6,7.3,1.6,0.4,2.8,3.6,16.5,99,109
20,Darren Collison,PG,27,SAC,45,45,1565,8.4,17.7,0.473,1.9,5.2,0.373,6.4,12.5,0.514,4.7,5.9,0.788,0.6,4,4.6,8.1,2.2,0.5,3.6,3.1,23.3,112,110
21,Mike Conley,PG,27,MEM,70,70,2225,9.2,20.7,0.446,2.5,6.5,0.386,6.7,14.2,0.473,5,5.8,0.859,0.7,4.2,4.9,8.8,2.1,0.3,3.7,3.3,26,110,104
22,Bryce Cotton,PG,22,UTA,15,0,159,9.7,23,0.42,2.3,6.7,0.35,7.3,16.4,0.449,5,6,0.833,1,5,6,5,1.3,0,4,2,26.7,102,109
23,Seth Curry,PG,24,PHO,2,0,8,0,18.7,0,0,6.2,0,0,12.5,0,0,0,,0,12.5,12.5,6.2,0,0,0,12.5,0,21,107
24,Stephen Curry,PG,26,GSW,80,80,2613,12.2,25.1,0.487,5.3,12.1,0.443,6.9,13,0.528,5.8,6.3,0.914,1,5.3,6.4,11.6,3,0.3,4.7,3,35.5,122,101
25,Spencer Dinwiddie,PG,21,DET,34,1,455,5.8,19.2,0.302,1.4,7.4,0.185,4.4,11.8,0.375,3.5,3.9,0.912,0.5,5,5.5,11.8,2.2,0.7,3.8,6,16.5,92,107
26,Larry Drew,PG,24,PHI,12,1,219,4.6,13.3,0.345,0.9,6,0.154,3.7,7.3,0.5,0.5,0.7,0.667,0.2,3.2,3.4,10.3,1.4,0,5.7,3,10.5,77,110
27,Tyler Ennis,PG,20,TOT,33,1,411,6.4,17.8,0.361,1.5,5.3,0.279,4.9,12.5,0.396,0.6,0.9,0.714,0.9,3.5,4.3,9,2.2,0.6,5.2,4.5,15,83,105
28,Dante Exum,PG,19,UTA,82,41,1817,4.2,12.2,0.349,2.4,7.7,0.314,1.8,4.4,0.408,0.6,0.9,0.625,0.8,3,3.8,5.8,1.2,0.4,3.4,4.3,11.5,90,109
29,Jordan Farmar,PG,28,LAC,36,0,529,5.8,15.1,0.386,3.4,9.3,0.361,2.5,5.8,0.426,1,1.1,0.909,0.8,3.3,4,6.4,1.9,0.5,3.1,5,16,101,108
30,Raymond Felton,PG,30,DAL,29,3,281,7.7,19,0.406,1.8,6.1,0.294,5.9,12.9,0.458,2.2,2.7,0.8,0.4,4.3,4.7,7.4,2,0.7,3.2,3.1,19.4,98,108
31,Tim Frazier,PG,24,TOT,11,3,239,4.4,12.9,0.344,1.1,3.6,0.294,3.4,9.3,0.364,2.1,4.4,0.476,1.3,4.6,5.9,12.6,1.7,0,5.3,5.5,12,88,108
