Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,D.J. Augustin,PG,29,ORL,78,20,1538,6.3,16.7,0.377,3.1,8.8,0.347,3.2,7.8,0.412,4.2,5.2,0.814,0.5,3.3,3.8,6.7,1,0,2.9,3.3,19.9,104,115
2,Wade Baldwin,PG,20,MEM,33,1,405,4.6,14.8,0.313,0.4,2.8,0.136,4.2,11.9,0.355,4,4.8,0.838,1.4,4.5,5.9,7.8,2.3,0.9,5,5.1,13.6,83,107
3,J.J. Barea,PG,32,DAL,35,6,771,9.6,23.2,0.414,3.6,10,0.358,6,13.2,0.456,3,3.4,0.863,0.6,5.1,5.7,13,0.9,0.1,4.3,2,25.7,106,112
4,Jerryd Bayless,PG,28,PHI,3,1,71,7.5,22,0.344,1.4,3.4,0.4,6.2,18.5,0.333,6.2,6.9,0.9,2.1,6.2,8.2,8.9,0,0,6.2,2.7,22.6,90,114
5,Eric Bledsoe,PG,27,PHO,66,66,2176,9.9,22.7,0.434,2.3,6.8,0.335,7.6,15.9,0.477,8.5,10.1,0.847,1.1,5.9,7,9.2,2,0.7,4.9,3.6,30.6,111,112
6,Aaron Brooks,PG,32,IND,65,0,894,6.8,16.8,0.403,2.7,7.2,0.375,4.1,9.6,0.424,1.8,2.2,0.8,1,2.9,3.9,7,1.4,0.5,3.7,5.2,18,98,113
7,Bobby Brown,PG,32,HOU,25,0,123,9,23.4,0.383,5.5,13.7,0.4,3.5,9.8,0.36,0.8,0.8,1,0,2.3,2.3,5.5,0.4,0,2,2,24.2,105,116
8,Trey Burke,PG,24,WAS,57,0,703,8.1,17.9,0.455,2.2,4.9,0.443,6,13,0.459,1.5,2,0.759,0.5,2.8,3.3,7,0.8,0.4,3.4,3.8,20,103,114
9,José Calderón,PG,35,TOT,41,13,539,5,12.2,0.41,1.8,5.8,0.313,3.2,6.4,0.5,1,1.1,0.917,1.4,5.4,6.7,8,1,0.1,3.7,3.3,12.8,100,113
10,Michael Carter-Williams,PG,25,CHI,45,19,846,6.7,18.2,0.366,0.9,3.8,0.234,5.8,14.4,0.401,3.5,4.6,0.753,1.4,7.7,9.1,6.7,2.3,1.4,3.9,6.1,17.7,90,105
11,Semaj Christon,PG,24,OKC,64,1,973,3.9,11.2,0.345,0.6,3.2,0.19,3.3,8.1,0.406,0.9,1.6,0.548,1,3.4,4.4,6.6,1.4,0.4,2.2,4,9.2,91,111
