Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,Jaylen Adams,PG,22,ATL,34,1,428,4.1,11.9,0.345,2.7,8,0.338,1.4,3.9,0.361,0.8,1,0.778,1.2,5.3,6.5,7,1.5,0.5,3,4.9,11.7,99,115
2,Ryan Arcidiacono,PG,24,CHI,81,32,1961,4.6,10.3,0.447,2,5.4,0.373,2.6,5,0.527,2.2,2.5,0.873,0.7,4.7,5.4,6.7,1.6,0.1,1.6,4.2,13.5,121,115
3,D.J. Augustin,PG,31,ORL,81,81,2269,6.9,14.6,0.47,2.8,6.7,0.421,4,7.9,0.511,3.9,4.5,0.866,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,122,112
4,Wade Baldwin,PG,22,POR,16,0,94,5.2,17,0.303,1,4.6,0.222,4.1,12.4,0.333,4.1,5.7,0.727,1,6.7,7.7,6.2,0.5,1,7.2,5.7,15.5,74,113
5,Lonzo Ball,PG,21,LAL,47,45,1423,6,14.9,0.406,2.5,7.5,0.329,3.6,7.5,0.482,0.7,1.6,0.417,1.8,6.4,8.2,8.3,2.3,0.6,3.4,3.7,15.2,100,109
6,J.J. Barea,PG,34,DAL,38,0,752,10.4,24.8,0.418,2.5,8.3,0.297,7.9,16.6,0.479,3.5,5,0.705,0.8,5.3,6.1,13.6,1.4,0.1,4.6,3.2,26.8,105,113
7,Jerryd Bayless,PG,30,MIN,34,6,657,6,16.8,0.357,2.1,7.1,0.296,3.9,9.6,0.402,1.2,2,0.571,0.8,3.7,4.5,8.7,1.3,0.1,2.3,4.1,15.2,98,117
8,Patrick Beverley,PG,30,LAC,78,49,2137,4.3,10.5,0.407,2.5,6.2,0.397,1.8,4.3,0.421,2.1,2.7,0.78,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,119,111
9,Eric Bledsoe,PG,29,MIL,78,78,2272,9.6,19.9,0.484,2.5,7.7,0.329,7.1,12.2,0.582,3.6,4.8,0.75,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,116,105
10,Isaac Bonga,PG,19,LAL,22,0,120,1.9,12.8,0.152,0,3.1,0,1.9,9.7,0.2,3.5,5.8,0.6,3.5,6.2,9.7,5.8,3.5,1.6,2.3,3.5,7.4,73,105
11,Isaiah Briscoe,PG,22,ORL,39,0,559,4.8,12.1,0.399,1,3,0.324,3.9,9.1,0.423,1.3,2.3,0.577,0.4,6,6.5,7.6,1,0.2,2.7,5.8,11.9,96,111
12,Lorenzo Brown,PG,28,TOR,26,0,212,5.2,16.1,0.324,1.4,6.3,0.214,3.8,9.7,0.395,0.7,0.7,1,1.1,5.9,7,6.3,2.7,1.1,3.6,5,12.4,82,105
13,Jalen Brunson,PG,22,DAL,73,38,1591,8,17.2,0.467,1.9,5.5,0.348,6.1,11.7,0.523,2.7,3.7,0.725,0.8,4.4,5.2,7,1.1,0.1,2.7,3.9,20.7,110,114
14,Trey Burke,PG,26,TOT,58,8,1125,10.1,23.5,0.431,2.4,6.8,0.352,7.7,16.7,0.463,4.4,5.3,0.831,1.2,3,4.3,6.8,1.4,0.3,2.1,2.5,27.1,110,116
15,José Calderón,PG,37,DET,49,0,632,3.5,9.4,0.375,1.1,4.4,0.246,2.4,4.9,0.492,0.7,0.9,0.818,0.9,3.8,4.7,9,1.2,0.2,2.7,5,8.8,102,112
16,Isaiah Canaan,PG,27,TOT,30,16,629,4.9,12.4,0.39,2.6,7.3,0.354,2.3,5.2,0.441,1.4,1.8,0.792,0.5,3.9,4.4,6.4,1.1,0.2,2.7,3.9,13.7,102,118
