Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,9.3,18.3,0.506,0.5,2,0.257,8.8,16.3,0.537,5.3,7.4,0.724,2,9,11,6.2,1.7,2,3.8,4.7,24.4,109,106
2,Keith Appling,PG,23,ORL,5,0,27,3.7,14.8,0.25,0,5.6,0,3.7,9.3,0.4,3.7,3.7,1,0,1.9,1.9,1.9,1.9,0,5.6,9.3,11.1,57,110
3,D.J. Augustin,PG,28,TOT,62,0,1178,6.3,14.8,0.423,2.9,7.1,0.405,3.4,7.7,0.44,4.4,5.4,0.805,0.3,3.7,4,8.4,1.6,0.2,3.6,3.6,19.8,113,111
4,J.J. Barea,PG,31,DAL,74,16,1667,9.7,21.7,0.446,3.1,7.9,0.385,6.6,13.8,0.481,2.3,2.9,0.771,0.8,3.8,4.6,9.2,0.8,0.1,3.5,3.4,24.7,106,111
5,Patrick Beverley,PG,27,HOU,71,63,2041,6.2,14.3,0.434,3,7.5,0.4,3.2,6.8,0.472,1.4,2.1,0.682,1.8,4.3,6,5.8,2.3,0.6,2.2,5.6,16.9,114,110
6,Steve Blake,PG,35,DET,58,2,986,4.8,12.3,0.388,2.7,7.7,0.344,2.1,4.6,0.461,0.8,1,0.8,0.5,4.1,4.6,10.2,1.2,0.3,4.1,3.6,13,101,108
7,Eric Bledsoe,PG,26,PHO,31,31,1059,10.3,22.6,0.453,2.2,5.9,0.372,8.1,16.7,0.482,6.3,7.9,0.802,0.8,4.9,5.8,8.7,2.9,0.9,5.1,3.5,29.1,107,107
8,Aaron Brooks,PG,31,CHI,69,0,1108,8.5,21.2,0.401,3,8.4,0.357,5.5,12.9,0.43,2.2,2.9,0.766,1,3.6,4.6,8.1,1.4,0.5,3.7,6,22.2,99,109
9,Lorenzo Brown,PG,25,PHO,8,0,61,6.4,20,0.32,0.8,6.4,0.125,5.6,13.6,0.412,2.4,3.2,0.75,0,5.6,5.6,8.8,2.4,0.8,7.2,3.2,16,72,108
10,Trey Burke,PG,23,UTA,64,0,1366,10.1,24.5,0.413,3.4,9.9,0.344,6.7,14.6,0.46,2.6,3.2,0.817,0.7,3.6,4.3,5.7,1.4,0.2,3.1,3.3,26.2,102,108
11,José Calderón,PG,34,NYK,72,72,2024,5.3,11.6,0.459,2.1,5.2,0.414,3.2,6.4,0.496,1.1,1.2,0.875,0.6,5.3,5.8,7.6,1.6,0.2,2.2,3.4,13.8,114,109
12,Michael Carter-Williams,PG,24,MIL,54,37,1649,7.8,17.1,0.452,0.5,1.7,0.273,7.3,15.4,0.472,3.3,5,0.654,1.5,7,8.5,8.7,2.5,1.3,4.7,5,19.2,96,107
