RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Chris Paul,LAC,62,35,6.03,1.95,7.98,14.47
2,Stephen Curry,GS,78,36.5,6.62,-0.38,6.24,15.48
3,Russell Westbrook,OKC,46,30.7,4.82,0.23,5.05,6.89
4,Mike Conley,MEM,73,33.5,4.28,0.42,4.7,10.24
5,Patrick Beverley,HOU,56,31.3,2.98,1.29,4.27,7.27
6,Kyle Lowry,TOR,79,36.2,3.84,0.41,4.25,11.56
7,Eric Bledsoe,PHX,43,32.9,0.11,3.97,4.08,5.79
8,Patty Mills,SA,81,18.9,3.42,0.58,4,6.07
9,Ricky Rubio,MIN,82,32.2,1.43,2.47,3.9,10.76
10,Goran Dragic,PHX,76,35.1,4.57,-1.14,3.43,9.73
11,Damian Lillard,POR,82,35.8,4.74,-1.95,2.79,9.4
12,George Hill,IND,76,32,1.93,0.56,2.49,7.03
13,Isaiah Thomas,SAC,72,34.7,3.85,-1.62,2.23,7.2
14,John Wall,WSH,82,36.3,2.66,-0.44,2.22,8.3
15,Avery Bradley,BOS,60,30.9,0.76,1.22,1.98,5.05
16,Derrick Rose,CHI,10,31.1,2.67,-0.91,1.76,0.71
17,Matthew Dellavedova,CLE,72,17.7,1.57,0.15,1.72,3.18
18,Reggie Jackson,OKC,80,28.5,1.04,0.66,1.7,5.84
19,Kemba Walker,CHA,73,35.8,0.79,0.79,1.58,6.12
20,Rajon Rondo,BOS,30,33.3,0.99,-1.92,-0.93,0.89
21,Jeff Teague,ATL,79,32.2,-0.22,-0.84,-1.06,2.05
22,Trey Burke,UTAH,70,32.3,2.02,-3.25,-1.23,1.54
23,Kyrie Irving,CLE,71,35.2,1.98,-3.38,-1.4,1.45
24,Ish Smith,PHX,70,14.4,-3.32,0.92,-2.4,-0.03
25,Austin Rivers,NO,69,19.4,0.56,-3.03,-2.47,-0.1
26,Michael Carter-Williams,PHI,70,34.5,-0.95,-2.1,-3.05,-1.11
27,Brandon Knight,MIL,72,33.3,-1.2,-1.98,-3.18,-1.21
28,J.J. Barea,MIN,79,18.6,-1.9,-1.33,-3.23,-0.81
29,Cory Joseph,SA,68,13.8,-0.74,-2.94,-3.68,-0.78
30,D.J. Augustin,CHI/TOR,71,27.3,0.03,-3.88,-3.85,-1.7
31,Dennis Schroder,ATL,49,13.1,-3.28,-5.02,-8.3,-2.35
