RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Stephen Curry,GS,80,32.7,7.43,1.91,9.34,20.07
2,Russell Westbrook,OKC,67,34.4,7.79,-0.71,7.08,14.15
3,Chris Paul,LAC,82,34.8,6.45,0.47,6.92,16.75
4,John Wall,WSH,79,35.9,2.57,1.73,4.30,11.63
5,Kyle Lowry,TOR,70,34.5,2.58,1.25,3.83,9.28
6,George Hill,IND,43,29.5,4.64,-0.87,3.77,4.76
7,Damian Lillard,POR,82,35.7,4.14,-0.37,3.77,11.15
8,Eric Bledsoe,PHX,81,34.6,1.61,1.85,3.46,10.38
9,Kyrie Irving,CLE,75,36.4,4.29,-0.89,3.40,9.74
10,Ricky Rubio,MIN,22,31.5,0.38,2.33,2.71,2.25
11,Marcus Smart,BOS,67,27.0,1.17,1.05,2.22,5.21
12,Mike Conley,MEM,70,31.8,2.36,-0.25,2.11,5.99
13,Elfrid Payton,ORL,82,30.4,1.23,0.87,2.10,6.95
14,Jeff Teague,ATL,73,30.5,0.92,0.95,1.87,5.88
15,Isaiah Thomas,BOS/PHX,67,25.8,4.14,-2.69,1.45,4.16
16,Reggie Jackson,DET/OKC,77,29.5,2.28,-1.10,1.18,4.93
17,Patty Mills,SA,51,15.7,0.53,0.43,0.96,1.67
18,Derrick Rose,CHI,51,30.0,1.15,-0.26,0.89,3.10
19,Cory Joseph,SA,79,18.3,-0.05,0.93,0.88,2.83
20,J.J. Barea,DAL,77,17.7,2.71,-1.93,0.78,2.64
21,Goran Dragic,MIA/PHX,78,33.8,1.76,-2.10,-0.34,3.36
22,Avery Bradley,BOS,77,31.5,-1.07,0.73,-0.34,3.13
23,Matthew Dellavedova,CLE,67,20.6,-0.52,-0.08,-0.60,1.44
24,Kemba Walker,CHA,62,34.2,0.97,-2.00,-1.03,1.69
25,Shabazz Napier,MIA,51,19.8,-1.67,0.37,-1.30,0.63
26,Patrick Beverley,HOU,56,30.8,-1.27,-0.30,-1.57,0.85
27,Tim Frazier,PHI/POR,11,21.7,-0.64,-0.93,-1.57,0.08
28,Dante Exum,UTAH,82,22.2,-1.64,-0.13,-1.77,0.62
29,Michael Carter-Williams,MIL/PHI,66,32.6,-3.05,0.78,-2.27,0.11
30,Brandon Knight,MIL/PHX,63,32.3,-0.51,-1.85,-2.36,-0.01
31,Jordan Clarkson,LAL,59,25.0,0.64,-3.00,-2.36,-0.01
32,Trey Burke,UTAH,76,30.1,-0.18,-2.52,-2.70,-0.48
33,Rajon Rondo,BOS/DAL,68,29.7,-3.55,0.34,-3.21,-1.12
34,Ish Smith,PHI/OKC,55,15.1,-1.95,-1.58,-3.53,-0.61
35,Dennis Schroder,ATL,77,19.7,-0.78,-2.93,-3.71,-1.23
36,Spencer Dinwiddie,DET,34,13.4,-2.55,-1.21,-3.76,-0.39
37,D.J. Augustin,DET/OKC,82,24.0,-0.76,-3.24,-4.00,-1.99
38,Austin Rivers,NO/LAC,76,20.6,-2.44,-1.61,-4.05,-1.64
39,Zach LaVine,MIN,77,24.7,-2.53,-4.34,-6.87,-5.34
