RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Stephen Curry,GS,69,33.8,5.99,0.85,6.84,15.24
2,Damian Lillard,POR,80,35.5,5.67,-0.59,5.08,14.52
3,Chris Paul,HOU,58,32.0,2.49,2.27,4.76,9.17
4,Kyle Lowry,TOR,65,34.0,2.83,1.82,4.65,10.97
5,Kyrie Irving,BOS,67,33.0,3.77,0.46,4.23,10.34
6,Eric Bledsoe,MIL,78,29.1,2.47,1.30,3.77,10.43
7,Mike Conley,MEM,70,33.5,3.72,-0.45,3.27,9.40
8,Kemba Walker,CHA,82,34.9,4.21,-1.45,2.76,10.69
9,Patrick Beverley,LAC,78,27.4,1.39,1.32,2.71,7.82
10,Russell Westbrook,OKC,73,36.0,2.59,-0.08,2.51,9.76
11,Marcus Smart,BOS,80,27.5,0.98,1.27,2.25,7.43
12,George Hill,CLE/MIL,60,21.7,0.15,1.89,2.04,4.25
13,Malcolm Brogdon,MIL,64,28.6,2.07,-0.05,2.02,6.11
14,Derrick White,SA,67,25.8,0.53,1.45,1.98,5.60
15,De'Aaron Fox,SAC,81,31.4,1.30,0.52,1.82,8.48
16,Ben Simmons,PHI,79,34.2,1.21,0.53,1.74,8.48
17,Monte Morris,DEN,82,24.0,1.64,0.05,1.69,5.78
18,Ricky Rubio,UTAH,68,27.9,0.33,1.03,1.36,5.57
19,Delon Wright,TOR/MEM,75,22.7,1.04,0.19,1.23,4.57
20,D.J. Augustin,ORL,81,28.0,2.06,-0.86,1.20,6.16
21,Jamal Murray,DEN,75,32.6,2.37,-1.19,1.18,6.57
22,Cory Joseph,IND,82,25.2,-0.68,1.53,0.85,5.10
23,Tyus Jones,MIN,68,22.9,0.13,0.70,0.83,3.91
24,Goran Dragic,MIA,36,27.5,0.47,0.33,0.80,2.42
25,Brad Wanamaker,BOS,36,9.5,-0.64,1.02,0.38,0.79
26,Reggie Jackson,DET,82,27.9,1.38,-1.06,0.32,4.75
27,Raul Neto,UTAH,37,12.8,0.29,-0.07,0.22,1.02
28,Patty Mills,SA,82,23.3,2.12,-1.97,0.15,4.00
29,Ryan Arcidiacono,CHI,81,24.2,0.69,-0.61,0.08,3.87
30,Shabazz Napier,BKN,56,17.6,0.64,-0.74,-0.10,1.89
31,Trey Burke,DAL/NY,58,19.4,1.03,-1.32,-0.29,2.00
32,Lonzo Ball,LAL,47,30.3,-1.61,1.29,-0.32,2.67
33,Zach LaVine,CHI,63,34.5,1.38,-1.87,-0.49,3.57
34,J.J. Barea,DAL,38,19.8,-0.23,-0.40,-0.63,1.22
35,Jeff Teague,MIN,42,30.1,0.05,-0.79,-0.74,1.94
36,Terry Rozier,BOS,79,22.7,-0.91,-0.04,-0.95,2.46
37,Austin Rivers,HOU/WSH,76,26.7,-0.36,-0.86,-1.22,2.36
38,Derrick Rose,MIN,51,27.3,1.25,-2.53,-1.28,1.67
39,Ish Smith,DET,56,22.3,-0.42,-1.01,-1.43,1.29
40,Yogi Ferrell,SAC,71,15.0,0.01,-1.45,-1.44,1.14
41,Aaron Holiday,IND,50,12.9,-1.11,-0.40,-1.51,0.66
42,John Wall,WSH,32,34.5,-0.60,-0.96,-1.56,1.10
43,PJ Dozier,BOS,6,8.5,-1.94,0.31,-1.63,0.05
44,Dennis Schroder,OKC,79,29.3,0.23,-1.88,-1.65,2.23
45,Spencer Dinwiddie,BKN,68,28.1,1.53,-3.21,-1.68,1.72
46,Jalen Brunson,DAL,73,21.8,-0.24,-1.61,-1.85,1.28
47,Kris Dunn,CHI,46,30.2,-1.40,-0.47,-1.87,1.07
48,Matthew Dellavedova,CLE/MIL,48,16.9,-1.40,-0.53,-1.93,0.60
49,Tim Frazier,NO/MIL,59,19.0,-0.91,-1.07,-1.98,0.68
50,Elfrid Payton,NO,42,29.8,-0.63,-1.35,-1.98,0.95
51,Dennis Smith Jr.,DAL/NY,53,28.5,-1.89,-0.13,-2.02,1.06
52,Dante Exum,UTAH,42,15.8,-1.85,-0.28,-2.13,0.43
53,Brandon Goodwin,DEN,16,3.6,-1.71,-0.53,-2.24,0.03
54,Markelle Fultz,PHI,19,22.5,-2.74,0.20,-2.54,0.16
55,Emmanuel Mudiay,NY,59,27.2,-0.28,-2.43,-2.71,0.42
56,Trae Young,ATL,81,30.9,2.04,-4.78,-2.74,0.64
57,Jordan Clarkson,CLE,81,27.3,1.18,-4.11,-2.93,0.27
58,Michael Carter-Williams,HOU/ORL,28,13.3,-2.03,-1.01,-3.04,0.01
59,Shaquille Harrison,CHI,73,19.6,-2.58,-0.51,-3.09,0.03
60,Isaiah Thomas,DEN,12,15.1,-2.46,-0.67,-3.13,0.00
61,T.J. McConnell,PHI,76,19.3,-0.93,-2.40,-3.33,-0.19
62,Jevon Carter,MEM,39,14.8,-2.90,-0.47,-3.37,-0.09
63,Avery Bradley,LAC/MEM,63,30.2,-2.18,-1.26,-3.44,-0.38
64,Edmond Sumner,IND,23,9.1,-3.00,-0.47,-3.47,-0.05
65,Rajon Rondo,LAL,46,29.8,-2.18,-1.38,-3.56,-0.39
66,Brandon Knight,CLE/HOU,39,18.9,-2.42,-1.32,-3.74,-0.29
67,Devonte' Graham,CHA,46,14.7,-2.07,-1.68,-3.75,-0.27
68,Quinn Cook,GS,74,14.3,-0.54,-3.49,-4.03,-0.59
69,Frank Mason III,SAC,38,11.4,-2.18,-2.24,-4.42,-0.37
70,Frank Jackson,NO,61,19.2,-1.97,-2.54,-4.51,-1.06
71,Frank Ntilikina,NY,43,21.0,-3.76,-1.39,-5.15,-1.19
72,Collin Sexton,CLE,82,31.8,-0.75,-4.62,-5.37,-3.69
