RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Chris Paul,LAC,74,32.7,6.15,2.44,8.59,18.12
2,Stephen Curry,GS,79,34.2,7.65,0.86,8.51,21.10
3,Russell Westbrook,OKC,80,34.4,7.25,0.60,7.85,19.53
4,Kyle Lowry,TOR,77,37.0,5.12,1.70,6.82,17.34
5,Ricky Rubio,MIN,76,30.6,2.25,1.89,4.14,10.72
6,Mike Conley,MEM,56,31.4,2.78,0.08,2.86,6.36
7,John Wall,WSH,77,36.2,2.60,0.12,2.72,10.62
8,Kemba Walker,CHA,81,35.6,2.93,-0.35,2.58,10.38
9,Patrick Beverley,HOU,71,28.7,1.37,1.01,2.38,7.15
10,Goran Dragic,MIA,72,32.8,1.42,0.70,2.12,7.73
11,Eric Bledsoe,PHX,31,34.2,1.31,0.39,1.70,3.32
12,Patty Mills,SA,81,20.5,2.01,-0.36,1.65,5.05
13,Reggie Jackson,DET,79,30.7,3.27,-1.82,1.45,7.00
14,Damian Lillard,POR,75,35.7,4.47,-3.16,1.31,7.65
15,Isaiah Thomas,BOS,82,32.2,3.13,-1.89,1.24,7.58
16,George Hill,IND,74,34.1,0.63,0.34,0.97,6.58
17,Matthew Dellavedova,CLE,76,24.6,1.39,-0.71,0.68,4.36
18,Dennis Schroder,ATL,80,20.3,0.88,-0.31,0.57,3.70
19,Rajon Rondo,SAC,72,35.2,0.89,-0.59,0.30,5.83
20,Avery Bradley,BOS,76,33.4,1.32,-1.24,0.08,5.31
21,Marcus Smart,BOS,61,27.3,-0.73,0.72,-0.01,3.45
22,Kyrie Irving,CLE,53,31.5,2.08,-2.68,-0.60,2.59
23,Jeff Teague,ATL,79,28.5,1.12,-1.81,-0.69,3.53
24,Cory Joseph,TOR,80,25.6,-0.68,-0.09,-0.77,2.91
25,Elfrid Payton,ORL,73,29.4,-0.62,-0.30,-0.92,3.03
26,Ish Smith,NO/PHI,77,29.1,0.32,-1.42,-1.10,2.95
27,Delon Wright,TOR,27,8.5,-0.70,-0.64,-1.34,0.25
28,Michael Carter-Williams,MIL,54,30.5,-1.73,0.37,-1.36,1.82
29,T.J. McConnell,PHI,81,19.8,-0.45,-1.05,-1.50,1.67
30,D.J. Augustin,DEN/OKC,62,19.0,-0.04,-1.71,-1.75,1.01
31,Raul Neto,UTAH,81,18.5,-1.51,-0.52,-2.03,0.99
32,Brandon Knight,PHX,52,36.0,0.44,-2.48,-2.04,1.32
33,Jordan Clarkson,LAL,79,32.3,0.14,-2.56,-2.42,1.16
34,Trey Burke,UTAH,64,21.3,-0.24,-2.89,-3.13,0.00
35,Tyus Jones,MIN,37,15.5,-1.77,-1.82,-3.59,-0.17
36,J.J. Barea,DAL,74,22.5,1.30,-4.90,-3.60,-0.50
37,Austin Rivers,LAC,67,21.9,-1.58,-2.03,-3.61,-0.46
38,Zach LaVine,MIN,82,28.0,-0.06,-3.65,-3.71,-0.86
39,Emmanuel Mudiay,DEN,68,30.4,-1.76,-2.02,-3.78,-0.87
40,Derrick Rose,CHI,66,31.8,-1.13,-3.14,-4.27,-1.53
41,Shabazz Napier,ORL,55,10.9,-2.01,-2.35,-4.36,-0.46
42,Terry Rozier,BOS,39,8.0,-3.39,-1.91,-5.30,-0.44
