RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Chris Paul,HOU,58,31.8,5.36,1.63,6.99,11.75
2,Stephen Curry,GS,51,32.0,6.59,0.06,6.65,10.97
3,Kyle Lowry,TOR,78,32.2,4.15,1.03,5.18,13.59
4,Russell Westbrook,OKC,80,36.4,3.96,1.20,5.16,15.73
5,Damian Lillard,POR,73,36.6,5.28,-0.38,4.90,13.67
6,Tyus Jones,MIN,82,17.9,2.38,2.40,4.78,7.27
7,Kemba Walker,CHA,80,34.2,4.36,-0.55,3.81,12.27
8,Ben Simmons,PHI,81,33.7,1.44,1.45,2.89,10.89
9,Eric Bledsoe,MIL/PHX,74,31.4,2.49,0.06,2.55,8.45
10,Spencer Dinwiddie,BKN,80,28.8,2.61,-0.21,2.40,8.09
11,Ricky Rubio,UTAH,77,29.3,0.41,1.98,2.39,7.85
12,Kyrie Irving,BOS,60,32.2,3.74,-1.35,2.39,6.74
13,Dejounte Murray,SA,81,21.5,-1.86,3.60,1.74,5.33
14,Delon Wright,TOR,69,20.8,1.08,0.57,1.65,4.29
15,Terry Rozier,BOS,80,25.9,1.18,0.04,1.22,5.64
16,John Wall,WSH,41,34.4,1.30,-0.13,1.17,3.96
17,Lonzo Ball,LAL,52,34.2,-1.19,2.31,1.12,4.98
18,Yogi Ferrell,DAL,82,27.8,-0.12,1.21,1.09,6.04
19,Marcus Smart,BOS,54,29.9,-0.65,1.61,0.96,4.19
20,Jeff Teague,MIN,70,33.0,1.43,-0.74,0.69,5.67
21,George Hill,CLE/SAC,67,27.0,0.87,-0.42,0.45,4.08
22,Shabazz Napier,POR,74,20.7,0.30,0.12,0.42,3.39
23,Goran Dragic,MIA,75,31.7,1.25,-0.85,0.40,5.30
24,Jamal Murray,DEN,81,31.7,2.62,-2.33,0.29,5.51
25,Shaquille Harrison,PHX,23,16.7,-0.57,0.75,0.18,0.86
26,D.J. Augustin,ORL,75,23.5,0.68,-0.67,0.01,3.55
27,Raul Neto,UTAH,41,12.1,-0.76,0.62,-0.14,0.94
28,Reggie Jackson,DET,45,26.7,0.68,-0.99,-0.31,2.13
29,Ish Smith,DET,82,24.9,0.18,-0.50,-0.32,3.64
30,Derrick White,SA,17,8.2,-0.98,0.46,-0.52,0.24
31,Mike Conley,MEM,12,31.1,-0.66,0.00,-0.66,0.56
32,Patty Mills,SA,82,25.7,1.41,-2.15,-0.74,3.16
33,Cory Joseph,IND,82,27.0,-0.16,-0.66,-0.82,3.25
34,J.J. Barea,DAL,69,23.2,1.45,-2.28,-0.83,2.32
35,Malcolm Brogdon,MIL,48,29.9,0.03,-0.97,-0.94,1.98
36,Rajon Rondo,NO,65,26.2,-0.60,-0.37,-0.97,2.46
37,Austin Rivers,LAC,61,33.7,1.24,-2.23,-0.99,2.81
38,Trey Burke,NY,36,21.8,2.08,-3.13,-1.05,1.05
39,Patrick Beverley,LAC,11,30.4,-1.17,0.05,-1.12,0.42
40,Kris Dunn,CHI,52,29.3,-0.67,-0.55,-1.22,1.90
41,Michael Carter-Williams,CHA,52,16.1,-2.41,1.09,-1.32,0.94
42,Tim Frazier,WSH,59,14.2,-1.69,0.32,-1.37,0.93
43,Dante Exum,UTAH,14,16.8,-0.91,-0.66,-1.57,0.24
44,T.J. McConnell,PHI,76,22.4,-1.59,-0.04,-1.63,1.69
45,Josh Magette,ATL,18,12.0,-1.41,-0.31,-1.72,0.19
46,Dennis Schroder,ATL,67,31.0,0.84,-2.63,-1.79,1.79
47,Jordan Clarkson,CLE/LAL,81,23.3,-0.05,-1.75,-1.80,1.63
48,Monte Morris,DEN,3,8.3,-1.42,-0.40,-1.82,0.02
49,PJ Dozier,OKC,2,1.5,-1.76,-0.14,-1.90,0.00
50,Ryan Arcidiacono,CHI,24,12.7,-1.94,-0.03,-1.97,0.23
51,Edmond Sumner,IND,1,2.0,-1.57,-0.45,-2.02,0.00
52,Elfrid Payton,ORL/PHX,63,28.7,-0.11,-1.95,-2.06,1.27
53,Quinn Cook,GS,33,22.4,-0.10,-2.03,-2.13,0.48
54,Markelle Fultz,PHI,14,18.1,-2.52,0.36,-2.16,0.17
55,Derrick Walton Jr.,MIA,16,9.2,-1.65,-0.62,-2.27,0.08
56,Frank Mason III,SAC,52,18.9,-0.88,-1.71,-2.59,0.32
57,Frank Ntilikina,NY,78,21.9,-2.60,-0.05,-2.65,0.52
58,Avery Bradley,DET/LAC,46,31.2,-2.18,-0.53,-2.71,0.38
59,Matthew Dellavedova,MIL,38,18.7,-1.53,-1.25,-2.78,0.15
60,Dennis Smith Jr.,DAL,69,29.7,-0.92,-2.17,-3.09,0.05
61,Zach LaVine,CHI,24,27.3,-1.16,-2.14,-3.30,-0.08
62,Josh Gray,PHX,5,17.2,-2.54,-1.03,-3.57,-0.03
63,Derrick Rose,CLE/MIN,25,16.8,-1.82,-1.77,-3.59,-0.09
64,Isaiah Thomas,CLE/LAL,32,26.9,-0.59,-3.64,-4.23,-0.63
65,De'Aaron Fox,SAC,73,27.8,-1.56,-2.71,-4.27,-1.48
66,Emmanuel Mudiay,DEN/NY,64,19.4,-2.41,-3.68,-6.09,-2.43
67,Kobi Simmons,MEM,32,20.1,-2.68,-3.63,-6.31,-1.30
